FF times,LED times
"(0.0166838723216258, 0.0)","(0.0166838723216258, 1.0)"
"(0.0333677446432516, 0.0)","(0.0333677446432516, 1.0)"
"(0.0500516169648774, 0.0)","(0.0500516169648774, 1.0)"
"(0.0667354892865032, 0.0)","(0.0667354892865032, 1.0)"
"(0.083419361608129, 0.0)","(0.083419361608129, 1.0)"
"(0.1001032339297548, 0.0)","(0.1001032339297548, 1.0)"
"(0.1167871062513806, 0.0)","(0.1167871062513806, 1.0)"
"(0.1334709785730064, 0.0)","(0.1334709785730064, 1.0)"
"(0.1501548508946322, 0.0)","(0.1501548508946322, 1.0)"
"(0.166838723216258, 0.0)","(0.166838723216258, 1.0)"
"(0.1835225955378838, 0.0)","(0.1835225955378838, 1.0)"
"(0.2002064678595096, 1.0)","(0.2002064678595096, 1.0)"
"(0.2168903401811354, 0.0)","(0.2168903401811354, 1.0)"
"(0.2335742125027612, 0.0)","(0.2335742125027612, 1.0)"
"(0.250258084824387, 0.0)","(0.250258084824387, 1.0)"
"(0.2669419571460128, 0.0)","(0.2669419571460128, 1.0)"
"(0.2836258294676386, 0.0)","(0.2836258294676386, 1.0)"
"(0.3003097017892644, 0.0)","(0.3003097017892644, 1.0)"
"(0.3169935741108902, 0.0)","(0.3169935741108902, 1.0)"
"(0.333677446432516, 0.0)","(0.333677446432516, 1.0)"
"(0.3503613187541418, 0.0)","(0.3503613187541418, 1.0)"
"(0.3670451910757676, 0.0)","(0.3670451910757676, 1.0)"
"(0.3837290633973934, 0.0)","(0.3837290633973934, 1.0)"
"(0.4004129357190192, 0.0)","(0.4004129357190192, 1.0)"
"(0.417096808040645, 0.0)","(0.417096808040645, 1.0)"
"(0.4337806803622708, 0.0)","(0.4337806803622708, 1.0)"
"(0.4504645526838966, 0.0)","(0.4504645526838966, 1.0)"
"(0.4671484250055224, 0.0)","(0.4671484250055224, 1.0)"
"(0.4838322973271482, 0.0)","(0.4838322973271482, 1.0)"
"(0.5005161696487741, 0.0)","(0.5005161696487741, 1.0)"
"(0.5172000419703998, 0.0)","(0.5172000419703998, 1.0)"
"(0.5338839142920256, 0.0)","(0.5338839142920256, 1.0)"
"(0.5505677866136515, 0.0)","(0.5505677866136515, 1.0)"
"(0.5672516589352773, 0.0)","(0.5672516589352773, 1.0)"
"(0.583935531256903, 0.0)","(0.583935531256903, 1.0)"
"(0.6006194035785288, 0.0)","(0.6006194035785288, 1.0)"
"(0.6173032759001547, 0.0)","(0.6173032759001547, 1.0)"
"(0.6339871482217805, 1.0)","(0.6339871482217805, 1.0)"
"(0.6506710205434063, 1.0)","(0.6506710205434063, 1.0)"
