FF times,LED times
"(0.0166836504234687, 0.0)","(0.0166836504234687, 1.0)"
"(0.0333673008469375, 0.0)","(0.0333673008469375, 1.0)"
"(0.0500509512704062, 0.0)","(0.0500509512704062, 1.0)"
"(0.066734601693875, 0.0)","(0.066734601693875, 1.0)"
"(0.0834182521173438, 0.0)","(0.0834182521173438, 1.0)"
"(0.1001019025408125, 0.0)","(0.1001019025408125, 1.0)"
"(0.1167855529642813, 0.0)","(0.1167855529642813, 1.0)"
"(0.1334692033877501, 0.0)","(0.1334692033877501, 1.0)"
"(0.1501528538112188, 0.0)","(0.1501528538112188, 1.0)"
"(0.1668365042346876, 0.0)","(0.1668365042346876, 1.0)"
"(0.1835201546581563, 0.0)","(0.1835201546581563, 1.0)"
"(0.2002038050816251, 0.0)","(0.2002038050816251, 1.0)"
"(0.2168874555050939, 0.0)","(0.2168874555050939, 1.0)"
"(0.2335711059285626, 0.0)","(0.2335711059285626, 1.0)"
"(0.2502547563520314, 0.0)","(0.2502547563520314, 1.0)"
"(0.2669384067755002, 0.0)","(0.2669384067755002, 1.0)"
"(0.2836220571989689, 0.0)","(0.2836220571989689, 1.0)"
"(0.3003057076224377, 0.0)","(0.3003057076224377, 1.0)"
"(0.3169893580459065, 0.0)","(0.3169893580459065, 1.0)"
"(0.3336730084693752, 0.0)","(0.3336730084693752, 1.0)"
"(0.350356658892844, 0.0)","(0.350356658892844, 1.0)"
"(0.3670403093163127, 0.0)","(0.3670403093163127, 1.0)"
"(0.3837239597397815, 0.0)","(0.3837239597397815, 1.0)"
"(0.4004076101632502, 0.0)","(0.4004076101632502, 1.0)"
"(0.417091260586719, 0.0)","(0.417091260586719, 1.0)"
"(0.4337749110101878, 0.0)","(0.4337749110101878, 1.0)"
"(0.4504585614336566, 0.0)","(0.4504585614336566, 1.0)"
"(0.4671422118571253, 0.0)","(0.4671422118571253, 1.0)"
"(0.4838258622805941, 0.0)","(0.4838258622805941, 1.0)"
"(0.5005095127040629, 0.0)","(0.5005095127040629, 1.0)"
"(0.5171931631275316, 0.0)","(0.5171931631275316, 1.0)"
"(0.5338768135510004, 0.0)","(0.5338768135510004, 1.0)"
"(0.5505604639744691, 0.0)","(0.5505604639744691, 1.0)"
"(0.5672441143979379, 0.0)","(0.5672441143979379, 1.0)"
"(0.5839277648214066, 0.0)","(0.5839277648214066, 1.0)"
"(0.6006114152448754, 0.0)","(0.6006114152448754, 1.0)"
"(0.6172950656683442, 0.0)","(0.6172950656683442, 1.0)"
"(0.633978716091813, 0.0)","(0.633978716091813, 1.0)"
"(0.6506623665152818, 0.0)","(0.6506623665152818, 1.0)"
"(0.6673460169387505, 0.0)","(0.6673460169387505, 1.0)"
"(0.6840296673622193, 0.0)","(0.6840296673622193, 1.0)"
"(0.700713317785688, 0.0)","(0.700713317785688, 1.0)"
"(0.7173969682091568, 0.0)","(0.7173969682091568, 1.0)"
"(0.7340806186326255, 0.0)","(0.7340806186326255, 1.0)"
"(0.7507642690560943, 0.0)","(0.7507642690560943, 1.0)"
"(0.767447919479563, 0.0)","(0.767447919479563, 1.0)"
"(0.7841315699030318, 0.0)","(0.7841315699030318, 1.0)"
"(0.8008152203265005, 0.0)","(0.8008152203265005, 1.0)"
"(0.8174988707499693, 0.0)","(0.8174988707499693, 1.0)"
"(0.834182521173438, 0.0)","(0.834182521173438, 1.0)"
"(0.8508661715969068, 0.0)","(0.8508661715969068, 1.0)"
"(0.8675498220203757, 0.0)","(0.8675498220203757, 1.0)"
"(0.8842334724438444, 0.0)","(0.8842334724438444, 1.0)"
"(0.9009171228673132, 0.0)","(0.9009171228673132, 1.0)"
"(0.917600773290782, 0.0)","(0.917600773290782, 1.0)"
"(0.9342844237142508, 0.0)","(0.9342844237142508, 1.0)"
"(0.9509680741377194, 0.0)","(0.9509680741377194, 1.0)"
"(0.9676517245611882, 0.0)","(0.9676517245611882, 1.0)"
"(0.984335374984657, 0.0)","(0.984335374984657, 1.0)"
"(1.0010190254081257, 0.0)","(1.0010190254081257, 1.0)"
"(1.0177026758315946, 0.0)","(1.0177026758315946, 1.0)"
"(1.0343863262550632, 0.0)","(1.0343863262550632, 1.0)"
"(1.051069976678532, 0.0)","(1.051069976678532, 1.0)"
"(1.0677536271020007, 0.0)","(1.0677536271020007, 1.0)"
"(1.0844372775254696, 0.0)","(1.0844372775254696, 1.0)"
"(1.1011209279489382, 0.0)","(1.1011209279489382, 1.0)"
"(1.117804578372407, 0.0)","(1.117804578372407, 1.0)"
"(1.1344882287958755, 0.0)","(1.1344882287958755, 1.0)"
"(1.1511718792193446, 0.0)","(1.1511718792193446, 1.0)"
"(1.1678555296428133, 0.0)","(1.1678555296428133, 1.0)"
"(1.184539180066282, 0.0)","(1.184539180066282, 1.0)"
"(1.2012228304897508, 0.0)","(1.2012228304897508, 1.0)"
"(1.2179064809132196, 0.0)","(1.2179064809132196, 1.0)"
"(1.2345901313366885, 0.0)","(1.2345901313366885, 1.0)"
"(1.2512737817601571, 0.0)","(1.2512737817601571, 1.0)"
"(1.267957432183626, 0.0)","(1.267957432183626, 1.0)"
"(1.2846410826070946, 0.0)","(1.2846410826070946, 1.0)"
"(1.3013247330305635, 0.0)","(1.3013247330305635, 1.0)"
"(1.3180083834540322, 0.0)","(1.3180083834540322, 1.0)"
"(1.334692033877501, 0.0)","(1.334692033877501, 1.0)"
"(1.3513756843009697, 0.0)","(1.3513756843009697, 1.0)"
"(1.3680593347244383, 0.0)","(1.3680593347244383, 1.0)"
"(1.3847429851479072, 0.0)","(1.3847429851479072, 1.0)"
"(1.401426635571376, 0.0)","(1.401426635571376, 1.0)"
"(1.418110285994845, 0.0)","(1.418110285994845, 1.0)"
"(1.4347939364183135, 0.0)","(1.4347939364183135, 1.0)"
"(1.4514775868417822, 0.0)","(1.4514775868417822, 1.0)"
"(1.468161237265251, 0.0)","(1.468161237265251, 1.0)"
