FF times,LED times
"(0.0166835720280581, 0.0)","(0.0166835720280581, 1.0)"
"(0.0333671440561163, 0.0)","(0.0333671440561163, 1.0)"
"(0.0500507160841745, 0.0)","(0.0500507160841745, 1.0)"
"(0.0667342881122327, 0.0)","(0.0667342881122327, 1.0)"
"(0.0834178601402909, 0.0)","(0.0834178601402909, 1.0)"
"(0.100101432168349, 0.0)","(0.100101432168349, 1.0)"
"(0.1167850041964072, 0.0)","(0.1167850041964072, 1.0)"
"(0.1334685762244654, 0.0)","(0.1334685762244654, 1.0)"
"(0.1501521482525236, 0.0)","(0.1501521482525236, 1.0)"
"(0.1668357202805818, 0.0)","(0.1668357202805818, 1.0)"
"(0.1835192923086399, 0.0)","(0.1835192923086399, 1.0)"
"(0.2002028643366981, 0.0)","(0.2002028643366981, 1.0)"
"(0.2168864363647563, 0.0)","(0.2168864363647563, 1.0)"
"(0.2335700083928145, 0.0)","(0.2335700083928145, 1.0)"
"(0.2502535804208727, 0.0)","(0.2502535804208727, 1.0)"
"(0.2669371524489309, 0.0)","(0.2669371524489309, 1.0)"
"(0.283620724476989, 0.0)","(0.283620724476989, 1.0)"
"(0.3003042965050472, 0.0)","(0.3003042965050472, 1.0)"
"(0.3169878685331054, 0.0)","(0.3169878685331054, 1.0)"
"(0.3336714405611636, 0.0)","(0.3336714405611636, 1.0)"
"(0.3503550125892218, 0.0)","(0.3503550125892218, 1.0)"
"(0.3670385846172799, 0.0)","(0.3670385846172799, 1.0)"
"(0.3837221566453381, 0.0)","(0.3837221566453381, 1.0)"
"(0.4004057286733963, 0.0)","(0.4004057286733963, 1.0)"
"(0.4170893007014545, 0.0)","(0.4170893007014545, 1.0)"
"(0.4337728727295127, 0.0)","(0.4337728727295127, 1.0)"
"(0.4504564447575708, 0.0)","(0.4504564447575708, 1.0)"
"(0.467140016785629, 0.0)","(0.467140016785629, 1.0)"
"(0.4838235888136872, 0.0)","(0.4838235888136872, 1.0)"
"(0.5005071608417454, 0.0)","(0.5005071608417454, 1.0)"
"(0.5171907328698035, 0.0)","(0.5171907328698035, 1.0)"
"(0.5338743048978618, 0.0)","(0.5338743048978618, 1.0)"
"(0.55055787692592, 0.0)","(0.55055787692592, 1.0)"
"(0.5672414489539781, 0.0)","(0.5672414489539781, 1.0)"
"(0.5839250209820364, 0.0)","(0.5839250209820364, 1.0)"
"(0.6006085930100945, 0.0)","(0.6006085930100945, 1.0)"
"(0.6172921650381527, 0.0)","(0.6172921650381527, 1.0)"
"(0.6339757370662109, 0.0)","(0.6339757370662109, 1.0)"
