FF times,LED times
"(0.0166836172551174, 0.0)","(0.0166836172551174, 1.0)"
"(0.0333672345102349, 0.0)","(0.0333672345102349, 1.0)"
"(0.0500508517653523, 0.0)","(0.0500508517653523, 1.0)"
"(0.0667344690204698, 0.0)","(0.0667344690204698, 1.0)"
"(0.0834180862755873, 0.0)","(0.0834180862755873, 1.0)"
"(0.1001017035307047, 0.0)","(0.1001017035307047, 1.0)"
"(0.1167853207858222, 0.0)","(0.1167853207858222, 1.0)"
"(0.1334689380409396, 0.0)","(0.1334689380409396, 1.0)"
"(0.1501525552960571, 0.0)","(0.1501525552960571, 1.0)"
"(0.1668361725511746, 0.0)","(0.1668361725511746, 1.0)"
"(0.183519789806292, 0.0)","(0.183519789806292, 1.0)"
"(0.2002034070614095, 0.0)","(0.2002034070614095, 1.0)"
"(0.2168870243165269, 0.0)","(0.2168870243165269, 1.0)"
"(0.2335706415716444, 0.0)","(0.2335706415716444, 1.0)"
"(0.2502542588267619, 0.0)","(0.2502542588267619, 1.0)"
"(0.2669378760818793, 0.0)","(0.2669378760818793, 1.0)"
"(0.2836214933369968, 0.0)","(0.2836214933369968, 1.0)"
"(0.3003051105921143, 0.0)","(0.3003051105921143, 1.0)"
"(0.3169887278472317, 0.0)","(0.3169887278472317, 1.0)"
"(0.3336723451023492, 0.0)","(0.3336723451023492, 1.0)"
"(0.3503559623574667, 0.0)","(0.3503559623574667, 1.0)"
"(0.3670395796125841, 0.0)","(0.3670395796125841, 1.0)"
"(0.3837231968677016, 0.0)","(0.3837231968677016, 1.0)"
"(0.400406814122819, 0.0)","(0.400406814122819, 1.0)"
"(0.4170904313779365, 0.0)","(0.4170904313779365, 1.0)"
"(0.4337740486330539, 0.0)","(0.4337740486330539, 1.0)"
"(0.4504576658881714, 0.0)","(0.4504576658881714, 1.0)"
"(0.4671412831432889, 0.0)","(0.4671412831432889, 1.0)"
"(0.4838249003984063, 0.0)","(0.4838249003984063, 1.0)"
"(0.5005085176535238, 1.0)","(0.5005085176535238, 1.0)"
"(0.5171921349086412, 1.0)","(0.5171921349086412, 1.0)"
"(0.5338757521637587, 0.0)","(0.5338757521637587, 1.0)"
"(0.5505593694188762, 0.0)","(0.5505593694188762, 1.0)"
"(0.5672429866739936, 0.0)","(0.5672429866739936, 1.0)"
"(0.5839266039291111, 0.0)","(0.5839266039291111, 1.0)"
"(0.6006102211842286, 0.0)","(0.6006102211842286, 1.0)"
"(0.617293838439346, 0.0)","(0.617293838439346, 1.0)"
"(0.6339774556944635, 0.0)","(0.6339774556944635, 1.0)"
"(0.650661072949581, 0.0)","(0.650661072949581, 1.0)"
"(0.6673446902046984, 0.0)","(0.6673446902046984, 1.0)"
"(0.6840283074598159, 0.0)","(0.6840283074598159, 1.0)"
"(0.7007119247149334, 0.0)","(0.7007119247149334, 1.0)"
"(0.7173955419700508, 0.0)","(0.7173955419700508, 1.0)"
"(0.7340791592251683, 0.0)","(0.7340791592251683, 1.0)"
"(0.7507627764802858, 0.0)","(0.7507627764802858, 1.0)"
"(0.7674463937354032, 0.0)","(0.7674463937354032, 1.0)"
"(0.7841300109905207, 0.0)","(0.7841300109905207, 1.0)"
"(0.8008136282456381, 0.0)","(0.8008136282456381, 1.0)"
"(0.8174972455007555, 0.0)","(0.8174972455007555, 1.0)"
"(0.834180862755873, 0.0)","(0.834180862755873, 1.0)"
"(0.8508644800109905, 0.0)","(0.8508644800109905, 1.0)"
"(0.8675480972661079, 0.0)","(0.8675480972661079, 1.0)"
"(0.8842317145212254, 0.0)","(0.8842317145212254, 1.0)"
"(0.9009153317763428, 0.0)","(0.9009153317763428, 1.0)"
"(0.9175989490314604, 0.0)","(0.9175989490314604, 1.0)"
"(0.9342825662865778, 0.0)","(0.9342825662865778, 1.0)"
"(0.9509661835416952, 0.0)","(0.9509661835416952, 1.0)"
"(0.9676498007968128, 0.0)","(0.9676498007968128, 1.0)"
"(0.9843334180519302, 0.0)","(0.9843334180519302, 1.0)"
"(1.0010170353070476, 0.0)","(1.0010170353070476, 1.0)"
"(1.017700652562165, 0.0)","(1.017700652562165, 1.0)"
"(1.0343842698172825, 0.0)","(1.0343842698172825, 1.0)"
"(1.0510678870724, 0.0)","(1.0510678870724, 1.0)"
"(1.0677515043275174, 0.0)","(1.0677515043275174, 1.0)"
"(1.0844351215826349, 0.0)","(1.0844351215826349, 1.0)"
"(1.1011187388377524, 0.0)","(1.1011187388377524, 1.0)"
"(1.1178023560928698, 0.0)","(1.1178023560928698, 1.0)"
"(1.1344859733479873, 0.0)","(1.1344859733479873, 1.0)"
"(1.1511695906031048, 0.0)","(1.1511695906031048, 1.0)"
"(1.1678532078582222, 1.0)","(1.1678532078582222, 1.0)"
"(1.1845368251133397, 0.0)","(1.1845368251133397, 1.0)"
"(1.2012204423684572, 0.0)","(1.2012204423684572, 1.0)"
"(1.2179040596235746, 0.0)","(1.2179040596235746, 1.0)"
"(1.234587676878692, 0.0)","(1.234587676878692, 1.0)"
"(1.2512712941338096, 0.0)","(1.2512712941338096, 1.0)"
"(1.267954911388927, 0.0)","(1.267954911388927, 1.0)"
"(1.2846385286440445, 0.0)","(1.2846385286440445, 1.0)"
"(1.301322145899162, 0.0)","(1.301322145899162, 1.0)"
"(1.3180057631542794, 0.0)","(1.3180057631542794, 1.0)"
"(1.3346893804093969, 0.0)","(1.3346893804093969, 1.0)"
"(1.3513729976645144, 0.0)","(1.3513729976645144, 1.0)"
"(1.3680566149196318, 0.0)","(1.3680566149196318, 1.0)"
"(1.3847402321747493, 0.0)","(1.3847402321747493, 1.0)"
"(1.4014238494298668, 0.0)","(1.4014238494298668, 1.0)"
"(1.4181074666849842, 0.0)","(1.4181074666849842, 1.0)"
"(1.4347910839401017, 0.0)","(1.4347910839401017, 1.0)"
"(1.4514747011952192, 0.0)","(1.4514747011952192, 1.0)"
"(1.4681583184503366, 0.0)","(1.4681583184503366, 1.0)"
"(1.484841935705454, 0.0)","(1.484841935705454, 1.0)"
"(1.5015255529605716, 0.0)","(1.5015255529605716, 1.0)"
"(1.518209170215689, 0.0)","(1.518209170215689, 1.0)"
"(1.5348927874708065, 0.0)","(1.5348927874708065, 1.0)"
"(1.551576404725924, 0.0)","(1.551576404725924, 1.0)"
"(1.5682600219810414, 0.0)","(1.5682600219810414, 1.0)"
"(1.5849436392361589, 0.0)","(1.5849436392361589, 1.0)"
