FF times,LED times
"(0.0166839732292715, 0.0)","(0.0166839732292715, 1.0)"
"(0.0333679464585431, 0.0)","(0.0333679464585431, 1.0)"
"(0.0500519196878147, 0.0)","(0.0500519196878147, 1.0)"
"(0.0667358929170862, 0.0)","(0.0667358929170862, 1.0)"
"(0.0834198661463578, 0.0)","(0.0834198661463578, 1.0)"
"(0.1001038393756294, 0.0)","(0.1001038393756294, 1.0)"
"(0.1167878126049009, 0.0)","(0.1167878126049009, 1.0)"
"(0.1334717858341725, 0.0)","(0.1334717858341725, 1.0)"
"(0.1501557590634441, 0.0)","(0.1501557590634441, 1.0)"
"(0.1668397322927156, 0.0)","(0.1668397322927156, 1.0)"
"(0.1835237055219872, 0.0)","(0.1835237055219872, 1.0)"
"(0.2002076787512588, 0.0)","(0.2002076787512588, 1.0)"
"(0.2168916519805303, 0.0)","(0.2168916519805303, 1.0)"
"(0.2335756252098019, 0.0)","(0.2335756252098019, 1.0)"
"(0.2502595984390735, 0.0)","(0.2502595984390735, 1.0)"
"(0.2669435716683451, 0.0)","(0.2669435716683451, 1.0)"
"(0.2836275448976166, 0.0)","(0.2836275448976166, 1.0)"
"(0.3003115181268882, 0.0)","(0.3003115181268882, 1.0)"
"(0.3169954913561598, 0.0)","(0.3169954913561598, 1.0)"
"(0.3336794645854313, 0.0)","(0.3336794645854313, 1.0)"
"(0.3503634378147029, 0.0)","(0.3503634378147029, 1.0)"
"(0.3670474110439745, 0.0)","(0.3670474110439745, 1.0)"
"(0.383731384273246, 0.0)","(0.383731384273246, 1.0)"
"(0.4004153575025176, 0.0)","(0.4004153575025176, 1.0)"
"(0.4170993307317892, 0.0)","(0.4170993307317892, 1.0)"
"(0.4337833039610607, 1.0)","(0.4337833039610607, 1.0)"
"(0.4504672771903323, 0.0)","(0.4504672771903323, 1.0)"
"(0.4671512504196038, 0.0)","(0.4671512504196038, 1.0)"
"(0.4838352236488754, 0.0)","(0.4838352236488754, 1.0)"
"(0.500519196878147, 0.0)","(0.500519196878147, 1.0)"
"(0.5172031701074186, 0.0)","(0.5172031701074186, 1.0)"
"(0.5338871433366902, 0.0)","(0.5338871433366902, 1.0)"
"(0.5505711165659617, 0.0)","(0.5505711165659617, 1.0)"
"(0.5672550897952333, 0.0)","(0.5672550897952333, 1.0)"
"(0.5839390630245048, 0.0)","(0.5839390630245048, 1.0)"
"(0.6006230362537764, 0.0)","(0.6006230362537764, 1.0)"
"(0.617307009483048, 0.0)","(0.617307009483048, 1.0)"
"(0.6339909827123196, 0.0)","(0.6339909827123196, 1.0)"
"(0.6506749559415911, 0.0)","(0.6506749559415911, 1.0)"
"(0.6673589291708627, 0.0)","(0.6673589291708627, 1.0)"
"(0.6840429024001342, 0.0)","(0.6840429024001342, 1.0)"
"(0.7007268756294058, 0.0)","(0.7007268756294058, 1.0)"
"(0.7174108488586775, 0.0)","(0.7174108488586775, 1.0)"
"(0.734094822087949, 0.0)","(0.734094822087949, 1.0)"
"(0.7507787953172206, 0.0)","(0.7507787953172206, 1.0)"
"(0.7674627685464921, 0.0)","(0.7674627685464921, 1.0)"
"(0.7841467417757637, 0.0)","(0.7841467417757637, 1.0)"
"(0.8008307150050352, 0.0)","(0.8008307150050352, 1.0)"
"(0.8175146882343068, 0.0)","(0.8175146882343068, 1.0)"
"(0.8341986614635784, 0.0)","(0.8341986614635784, 1.0)"
"(0.85088263469285, 0.0)","(0.85088263469285, 1.0)"
"(0.8675666079221215, 0.0)","(0.8675666079221215, 1.0)"
"(0.8842505811513931, 0.0)","(0.8842505811513931, 1.0)"
"(0.9009345543806646, 0.0)","(0.9009345543806646, 1.0)"
"(0.9176185276099362, 1.0)","(0.9176185276099362, 1.0)"
"(0.9343025008392076, 1.0)","(0.9343025008392076, 1.0)"
"(0.9509864740684794, 1.0)","(0.9509864740684794, 1.0)"
"(0.9676704472977508, 0.0)","(0.9676704472977508, 1.0)"
"(0.9843544205270224, 0.0)","(0.9843544205270224, 1.0)"
"(1.001038393756294, 0.0)","(1.001038393756294, 1.0)"
"(1.0177223669855655, 0.0)","(1.0177223669855655, 1.0)"
"(1.0344063402148371, 0.0)","(1.0344063402148371, 1.0)"
"(1.0510903134441087, 0.0)","(1.0510903134441087, 1.0)"
"(1.0677742866733804, 0.0)","(1.0677742866733804, 1.0)"
"(1.084458259902652, 0.0)","(1.084458259902652, 1.0)"
"(1.1011422331319234, 0.0)","(1.1011422331319234, 1.0)"
"(1.117826206361195, 0.0)","(1.117826206361195, 1.0)"
"(1.1345101795904666, 0.0)","(1.1345101795904666, 1.0)"
"(1.1511941528197382, 0.0)","(1.1511941528197382, 1.0)"
"(1.1678781260490096, 0.0)","(1.1678781260490096, 1.0)"
"(1.1845620992782813, 0.0)","(1.1845620992782813, 1.0)"
"(1.2012460725075529, 0.0)","(1.2012460725075529, 1.0)"
"(1.2179300457368245, 0.0)","(1.2179300457368245, 1.0)"
"(1.234614018966096, 0.0)","(1.234614018966096, 1.0)"
"(1.2512979921953675, 0.0)","(1.2512979921953675, 1.0)"
"(1.2679819654246391, 0.0)","(1.2679819654246391, 1.0)"
"(1.2846659386539108, 0.0)","(1.2846659386539108, 1.0)"
"(1.3013499118831822, 0.0)","(1.3013499118831822, 1.0)"
"(1.3180338851124538, 1.0)","(1.3180338851124538, 1.0)"
"(1.3347178583417254, 1.0)","(1.3347178583417254, 1.0)"
"(1.351401831570997, 1.0)","(1.351401831570997, 1.0)"
"(1.3680858048002684, 0.0)","(1.3680858048002684, 1.0)"
"(1.38476977802954, 0.0)","(1.38476977802954, 1.0)"
"(1.4014537512588117, 0.0)","(1.4014537512588117, 1.0)"
"(1.4181377244880833, 0.0)","(1.4181377244880833, 1.0)"
"(1.434821697717355, 0.0)","(1.434821697717355, 1.0)"
"(1.4515056709466263, 0.0)","(1.4515056709466263, 1.0)"
"(1.468189644175898, 0.0)","(1.468189644175898, 1.0)"
"(1.4848736174051695, 0.0)","(1.4848736174051695, 1.0)"
"(1.5015575906344412, 0.0)","(1.5015575906344412, 1.0)"
"(1.5182415638637126, 0.0)","(1.5182415638637126, 1.0)"
"(1.5349255370929842, 0.0)","(1.5349255370929842, 1.0)"
"(1.5516095103222558, 0.0)","(1.5516095103222558, 1.0)"
"(1.5682934835515274, 0.0)","(1.5682934835515274, 1.0)"
"(1.5849774567807988, 0.0)","(1.5849774567807988, 1.0)"
"(1.6016614300100704, 0.0)","(1.6016614300100704, 1.0)"
"(1.618345403239342, 0.0)","(1.618345403239342, 1.0)"
"(1.6350293764686137, 0.0)","(1.6350293764686137, 1.0)"
"(1.651713349697885, 0.0)","(1.651713349697885, 1.0)"
"(1.6683973229271567, 0.0)","(1.6683973229271567, 1.0)"
"(1.6850812961564283, 0.0)","(1.6850812961564283, 1.0)"
"(1.7017652693857, 0.0)","(1.7017652693857, 1.0)"
"(1.7184492426149711, 0.0)","(1.7184492426149711, 1.0)"
"(1.735133215844243, 0.0)","(1.735133215844243, 1.0)"
"(1.7518171890735146, 0.0)","(1.7518171890735146, 1.0)"
"(1.7685011623027862, 0.0)","(1.7685011623027862, 1.0)"
"(1.7851851355320578, 0.0)","(1.7851851355320578, 1.0)"
"(1.8018691087613288, 0.0)","(1.8018691087613288, 1.0)"
"(1.8185530819906008, 0.0)","(1.8185530819906008, 1.0)"
"(1.8352370552198725, 1.0)","(1.8352370552198725, 1.0)"
"(1.851921028449144, 1.0)","(1.851921028449144, 1.0)"
"(1.8686050016784157, 0.0)","(1.8686050016784157, 1.0)"
"(1.885288974907687, 0.0)","(1.885288974907687, 1.0)"
"(1.9019729481369587, 0.0)","(1.9019729481369587, 1.0)"
"(1.9186569213662303, 0.0)","(1.9186569213662303, 1.0)"
"(1.9353408945955015, 0.0)","(1.9353408945955015, 1.0)"
"(1.9520248678247731, 0.0)","(1.9520248678247731, 1.0)"
"(1.968708841054045, 0.0)","(1.968708841054045, 1.0)"
"(1.9853928142833168, 0.0)","(1.9853928142833168, 1.0)"
"(2.002076787512588, 0.0)","(2.002076787512588, 1.0)"
"(2.01876076074186, 0.0)","(2.01876076074186, 1.0)"
"(2.035444733971131, 0.0)","(2.035444733971131, 1.0)"
"(2.052128707200403, 0.0)","(2.052128707200403, 1.0)"
"(2.0688126804296743, 0.0)","(2.0688126804296743, 1.0)"
"(2.085496653658946, 0.0)","(2.085496653658946, 1.0)"
"(2.102180626888217, 0.0)","(2.102180626888217, 1.0)"
"(2.118864600117489, 0.0)","(2.118864600117489, 1.0)"
"(2.1355485733467607, 0.0)","(2.1355485733467607, 1.0)"
"(2.152232546576032, 0.0)","(2.152232546576032, 1.0)"
"(2.168916519805304, 0.0)","(2.168916519805304, 1.0)"
"(2.185600493034576, 0.0)","(2.185600493034576, 1.0)"
"(2.2022844662638468, 0.0)","(2.2022844662638468, 1.0)"
"(2.2189684394931186, 0.0)","(2.2189684394931186, 1.0)"
"(2.23565241272239, 0.0)","(2.23565241272239, 1.0)"
"(2.2523363859516614, 0.0)","(2.2523363859516614, 1.0)"
"(2.2690203591809333, 0.0)","(2.2690203591809333, 1.0)"
"(2.2857043324102047, 0.0)","(2.2857043324102047, 1.0)"
"(2.3023883056394765, 1.0)","(2.3023883056394765, 1.0)"
"(2.319072278868748, 1.0)","(2.319072278868748, 1.0)"
"(2.3357562520980197, 0.0)","(2.3357562520980197, 1.0)"
"(2.352440225327291, 0.0)","(2.352440225327291, 1.0)"
"(2.3691241985565625, 0.0)","(2.3691241985565625, 1.0)"
"(2.385808171785834, 0.0)","(2.385808171785834, 1.0)"
"(2.4024921450151058, 0.0)","(2.4024921450151058, 1.0)"
"(2.419176118244377, 0.0)","(2.419176118244377, 1.0)"
"(2.435860091473649, 0.0)","(2.435860091473649, 1.0)"
"(2.4525440647029204, 0.0)","(2.4525440647029204, 1.0)"
"(2.469228037932192, 0.0)","(2.469228037932192, 1.0)"
"(2.485912011161464, 0.0)","(2.485912011161464, 1.0)"
"(2.502595984390735, 0.0)","(2.502595984390735, 1.0)"
"(2.519279957620007, 0.0)","(2.519279957620007, 1.0)"
"(2.5359639308492783, 0.0)","(2.5359639308492783, 1.0)"
"(2.5526479040785497, 0.0)","(2.5526479040785497, 1.0)"
"(2.569331877307821, 0.0)","(2.569331877307821, 1.0)"
"(2.586015850537093, 0.0)","(2.586015850537093, 1.0)"
"(2.6026998237663643, 0.0)","(2.6026998237663643, 1.0)"
