FF times,LED times
"(0.0166839510485969, 0.0)","(0.0166839510485969, 1.0)"
"(0.0333679020971939, 0.0)","(0.0333679020971939, 1.0)"
"(0.0500518531457909, 0.0)","(0.0500518531457909, 1.0)"
"(0.0667358041943879, 0.0)","(0.0667358041943879, 1.0)"
"(0.0834197552429848, 0.0)","(0.0834197552429848, 1.0)"
"(0.1001037062915818, 0.0)","(0.1001037062915818, 1.0)"
"(0.1167876573401788, 0.0)","(0.1167876573401788, 1.0)"
"(0.1334716083887758, 0.0)","(0.1334716083887758, 1.0)"
"(0.1501555594373728, 0.0)","(0.1501555594373728, 1.0)"
"(0.1668395104859697, 0.0)","(0.1668395104859697, 1.0)"
"(0.1835234615345667, 0.0)","(0.1835234615345667, 1.0)"
"(0.2002074125831637, 0.0)","(0.2002074125831637, 1.0)"
"(0.2168913636317607, 0.0)","(0.2168913636317607, 1.0)"
"(0.2335753146803576, 0.0)","(0.2335753146803576, 1.0)"
"(0.2502592657289546, 0.0)","(0.2502592657289546, 1.0)"
"(0.2669432167775516, 0.0)","(0.2669432167775516, 1.0)"
"(0.2836271678261486, 0.0)","(0.2836271678261486, 1.0)"
"(0.3003111188747456, 0.0)","(0.3003111188747456, 1.0)"
"(0.3169950699233425, 0.0)","(0.3169950699233425, 1.0)"
"(0.3336790209719395, 0.0)","(0.3336790209719395, 1.0)"
"(0.3503629720205365, 0.0)","(0.3503629720205365, 1.0)"
"(0.3670469230691335, 0.0)","(0.3670469230691335, 1.0)"
"(0.3837308741177304, 0.0)","(0.3837308741177304, 1.0)"
"(0.4004148251663274, 0.0)","(0.4004148251663274, 1.0)"
"(0.4170987762149244, 0.0)","(0.4170987762149244, 1.0)"
"(0.4337827272635214, 0.0)","(0.4337827272635214, 1.0)"
"(0.4504666783121183, 0.0)","(0.4504666783121183, 1.0)"
"(0.4671506293607153, 0.0)","(0.4671506293607153, 1.0)"
"(0.4838345804093123, 0.0)","(0.4838345804093123, 1.0)"
"(0.5005185314579093, 0.0)","(0.5005185314579093, 1.0)"
"(0.5172024825065062, 0.0)","(0.5172024825065062, 1.0)"
"(0.5338864335551032, 0.0)","(0.5338864335551032, 1.0)"
"(0.5505703846037002, 0.0)","(0.5505703846037002, 1.0)"
"(0.5672543356522972, 0.0)","(0.5672543356522972, 1.0)"
"(0.5839382867008942, 0.0)","(0.5839382867008942, 1.0)"
"(0.6006222377494912, 0.0)","(0.6006222377494912, 1.0)"
"(0.6173061887980881, 0.0)","(0.6173061887980881, 1.0)"
"(0.6339901398466851, 0.0)","(0.6339901398466851, 1.0)"
"(0.650674090895282, 0.0)","(0.650674090895282, 1.0)"
"(0.667358041943879, 0.0)","(0.667358041943879, 1.0)"
"(0.684041992992476, 0.0)","(0.684041992992476, 1.0)"
"(0.700725944041073, 0.0)","(0.700725944041073, 1.0)"
"(0.71740989508967, 0.0)","(0.71740989508967, 1.0)"
"(0.734093846138267, 0.0)","(0.734093846138267, 1.0)"
"(0.7507777971868639, 0.0)","(0.7507777971868639, 1.0)"
"(0.7674617482354609, 0.0)","(0.7674617482354609, 1.0)"
"(0.7841456992840579, 0.0)","(0.7841456992840579, 1.0)"
