FF times,LED times
"(0.0166838958356386, 0.0)","(0.0166838958356386, 1.0)"
"(0.0333677916712773, 0.0)","(0.0333677916712773, 1.0)"
"(0.050051687506916, 0.0)","(0.050051687506916, 1.0)"
"(0.0667355833425546, 0.0)","(0.0667355833425546, 1.0)"
"(0.0834194791781933, 0.0)","(0.0834194791781933, 1.0)"
"(0.100103375013832, 0.0)","(0.100103375013832, 1.0)"
"(0.1167872708494706, 0.0)","(0.1167872708494706, 1.0)"
"(0.1334711666851093, 0.0)","(0.1334711666851093, 1.0)"
"(0.150155062520748, 0.0)","(0.150155062520748, 1.0)"
"(0.1668389583563867, 0.0)","(0.1668389583563867, 1.0)"
"(0.1835228541920253, 0.0)","(0.1835228541920253, 1.0)"
"(0.200206750027664, 0.0)","(0.200206750027664, 1.0)"
"(0.2168906458633027, 0.0)","(0.2168906458633027, 1.0)"
"(0.2335745416989413, 0.0)","(0.2335745416989413, 1.0)"
"(0.25025843753458, 0.0)","(0.25025843753458, 1.0)"
"(0.2669423333702187, 0.0)","(0.2669423333702187, 1.0)"
"(0.2836262292058574, 0.0)","(0.2836262292058574, 1.0)"
"(0.300310125041496, 0.0)","(0.300310125041496, 1.0)"
"(0.3169940208771347, 0.0)","(0.3169940208771347, 1.0)"
"(0.3336779167127734, 0.0)","(0.3336779167127734, 1.0)"
"(0.3503618125484121, 0.0)","(0.3503618125484121, 1.0)"
"(0.3670457083840507, 0.0)","(0.3670457083840507, 1.0)"
"(0.3837296042196894, 0.0)","(0.3837296042196894, 1.0)"
"(0.4004135000553281, 0.0)","(0.4004135000553281, 1.0)"
"(0.4170973958909667, 0.0)","(0.4170973958909667, 1.0)"
"(0.4337812917266054, 0.0)","(0.4337812917266054, 1.0)"
"(0.4504651875622441, 0.0)","(0.4504651875622441, 1.0)"
"(0.4671490833978827, 0.0)","(0.4671490833978827, 1.0)"
"(0.4838329792335214, 0.0)","(0.4838329792335214, 1.0)"
"(0.5005168750691601, 0.0)","(0.5005168750691601, 1.0)"
"(0.5172007709047988, 0.0)","(0.5172007709047988, 1.0)"
"(0.5338846667404374, 0.0)","(0.5338846667404374, 1.0)"
"(0.5505685625760761, 0.0)","(0.5505685625760761, 1.0)"
"(0.5672524584117148, 0.0)","(0.5672524584117148, 1.0)"
"(0.5839363542473535, 0.0)","(0.5839363542473535, 1.0)"
"(0.6006202500829921, 0.0)","(0.6006202500829921, 1.0)"
"(0.6173041459186308, 0.0)","(0.6173041459186308, 1.0)"
"(0.6339880417542695, 0.0)","(0.6339880417542695, 1.0)"
"(0.6506719375899082, 0.0)","(0.6506719375899082, 1.0)"
"(0.6673558334255468, 0.0)","(0.6673558334255468, 1.0)"
"(0.6840397292611855, 0.0)","(0.6840397292611855, 1.0)"
"(0.7007236250968242, 0.0)","(0.7007236250968242, 1.0)"
"(0.7174075209324628, 0.0)","(0.7174075209324628, 1.0)"
"(0.7340914167681015, 0.0)","(0.7340914167681015, 1.0)"
"(0.7507753126037402, 0.0)","(0.7507753126037402, 1.0)"
"(0.7674592084393789, 0.0)","(0.7674592084393789, 1.0)"
"(0.7841431042750175, 0.0)","(0.7841431042750175, 1.0)"
"(0.8008270001106562, 0.0)","(0.8008270001106562, 1.0)"
"(0.8175108959462949, 0.0)","(0.8175108959462949, 1.0)"
"(0.8341947917819335, 0.0)","(0.8341947917819335, 1.0)"
"(0.8508786876175721, 0.0)","(0.8508786876175721, 1.0)"
"(0.8675625834532108, 0.0)","(0.8675625834532108, 1.0)"
"(0.8842464792888495, 0.0)","(0.8842464792888495, 1.0)"
"(0.900930375124488, 0.0)","(0.900930375124488, 1.0)"
"(0.9176142709601268, 0.0)","(0.9176142709601268, 1.0)"
"(0.9342981667957656, 0.0)","(0.9342981667957656, 1.0)"
"(0.9509820626314042, 0.0)","(0.9509820626314042, 1.0)"
"(0.9676659584670428, 0.0)","(0.9676659584670428, 1.0)"
"(0.9843498543026816, 0.0)","(0.9843498543026816, 1.0)"
"(1.0010337501383202, 0.0)","(1.0010337501383202, 1.0)"
"(1.017717645973959, 0.0)","(1.017717645973959, 1.0)"
"(1.0344015418095975, 0.0)","(1.0344015418095975, 1.0)"
"(1.0510854376452363, 0.0)","(1.0510854376452363, 1.0)"
"(1.0677693334808749, 0.0)","(1.0677693334808749, 1.0)"
"(1.0844532293165137, 0.0)","(1.0844532293165137, 1.0)"
"(1.1011371251521522, 0.0)","(1.1011371251521522, 1.0)"
"(1.1178210209877908, 0.0)","(1.1178210209877908, 1.0)"
"(1.1345049168234296, 0.0)","(1.1345049168234296, 1.0)"
"(1.151188812659068, 0.0)","(1.151188812659068, 1.0)"
"(1.167872708494707, 0.0)","(1.167872708494707, 1.0)"
"(1.1845566043303457, 0.0)","(1.1845566043303457, 1.0)"
"(1.2012405001659845, 0.0)","(1.2012405001659845, 1.0)"
"(1.2179243960016228, 0.0)","(1.2179243960016228, 1.0)"
"(1.2346082918372616, 0.0)","(1.2346082918372616, 1.0)"
"(1.2512921876729002, 0.0)","(1.2512921876729002, 1.0)"
"(1.267976083508539, 0.0)","(1.267976083508539, 1.0)"
"(1.2846599793441775, 0.0)","(1.2846599793441775, 1.0)"
"(1.3013438751798163, 0.0)","(1.3013438751798163, 1.0)"
"(1.3180277710154549, 0.0)","(1.3180277710154549, 1.0)"
"(1.3347116668510937, 0.0)","(1.3347116668510937, 1.0)"
"(1.3513955626867322, 0.0)","(1.3513955626867322, 1.0)"
"(1.368079458522371, 0.0)","(1.368079458522371, 1.0)"
"(1.3847633543580096, 0.0)","(1.3847633543580096, 1.0)"
"(1.4014472501936484, 0.0)","(1.4014472501936484, 1.0)"
"(1.418131146029287, 0.0)","(1.418131146029287, 1.0)"
"(1.4348150418649257, 0.0)","(1.4348150418649257, 1.0)"
"(1.4514989377005645, 0.0)","(1.4514989377005645, 1.0)"
"(1.468182833536203, 0.0)","(1.468182833536203, 1.0)"
"(1.4848667293718416, 0.0)","(1.4848667293718416, 1.0)"
"(1.5015506252074804, 0.0)","(1.5015506252074804, 1.0)"
"(1.518234521043119, 0.0)","(1.518234521043119, 1.0)"
"(1.5349184168787575, 0.0)","(1.5349184168787575, 1.0)"
"(1.5516023127143963, 0.0)","(1.5516023127143963, 1.0)"
"(1.568286208550035, 0.0)","(1.568286208550035, 1.0)"
"(1.5849701043856737, 0.0)","(1.5849701043856737, 1.0)"
"(1.6016540002213124, 0.0)","(1.6016540002213124, 1.0)"
"(1.618337896056951, 0.0)","(1.618337896056951, 1.0)"
"(1.6350217918925898, 0.0)","(1.6350217918925898, 1.0)"
"(1.6517056877282283, 0.0)","(1.6517056877282283, 1.0)"
"(1.668389583563867, 0.0)","(1.668389583563867, 1.0)"
"(1.6850734793995057, 0.0)","(1.6850734793995057, 1.0)"
"(1.7017573752351445, 0.0)","(1.7017573752351445, 1.0)"
"(1.718441271070783, 0.0)","(1.718441271070783, 1.0)"
"(1.7351251669064216, 0.0)","(1.7351251669064216, 1.0)"
"(1.7518090627420604, 0.0)","(1.7518090627420604, 1.0)"
"(1.768492958577699, 0.0)","(1.768492958577699, 1.0)"
"(1.7851768544133375, 0.0)","(1.7851768544133375, 1.0)"
"(1.8018607502489763, 0.0)","(1.8018607502489763, 1.0)"
"(1.818544646084615, 0.0)","(1.818544646084615, 1.0)"
"(1.8352285419202536, 0.0)","(1.8352285419202536, 1.0)"
"(1.8519124377558924, 0.0)","(1.8519124377558924, 1.0)"
"(1.868596333591531, 0.0)","(1.868596333591531, 1.0)"
"(1.8852802294271696, 0.0)","(1.8852802294271696, 1.0)"
"(1.9019641252628083, 0.0)","(1.9019641252628083, 1.0)"
"(1.9186480210984471, 0.0)","(1.9186480210984471, 1.0)"
"(1.9353319169340857, 0.0)","(1.9353319169340857, 1.0)"
"(1.9520158127697245, 0.0)","(1.9520158127697245, 1.0)"
"(1.968699708605363, 0.0)","(1.968699708605363, 1.0)"
"(1.9853836044410016, 0.0)","(1.9853836044410016, 1.0)"
"(2.0020675002766404, 0.0)","(2.0020675002766404, 1.0)"
"(2.018751396112279, 0.0)","(2.018751396112279, 1.0)"
"(2.035435291947918, 0.0)","(2.035435291947918, 1.0)"
"(2.0521191877835565, 0.0)","(2.0521191877835565, 1.0)"
"(2.068803083619195, 0.0)","(2.068803083619195, 1.0)"
"(2.0854869794548336, 0.0)","(2.0854869794548336, 1.0)"
"(2.1021708752904726, 0.0)","(2.1021708752904726, 1.0)"
"(2.118854771126111, 0.0)","(2.118854771126111, 1.0)"
"(2.1355386669617498, 0.0)","(2.1355386669617498, 1.0)"
"(2.1522225627973883, 0.0)","(2.1522225627973883, 1.0)"
"(2.168906458633028, 0.0)","(2.168906458633028, 1.0)"
"(2.185590354468666, 0.0)","(2.185590354468666, 1.0)"
"(2.2022742503043045, 0.0)","(2.2022742503043045, 1.0)"
"(2.218958146139943, 0.0)","(2.218958146139943, 1.0)"
"(2.2356420419755816, 0.0)","(2.2356420419755816, 1.0)"
"(2.2523259378112206, 0.0)","(2.2523259378112206, 1.0)"
"(2.269009833646859, 0.0)","(2.269009833646859, 1.0)"
"(2.2856937294824977, 0.0)","(2.2856937294824977, 1.0)"
"(2.3023776253181363, 0.0)","(2.3023776253181363, 1.0)"
"(2.3190615211537757, 0.0)","(2.3190615211537757, 1.0)"
"(2.335745416989414, 0.0)","(2.335745416989414, 1.0)"
"(2.3524293128250524, 0.0)","(2.3524293128250524, 1.0)"
"(2.369113208660691, 0.0)","(2.369113208660691, 1.0)"
"(2.38579710449633, 0.0)","(2.38579710449633, 1.0)"
"(2.4024810003319685, 0.0)","(2.4024810003319685, 1.0)"
"(2.419164896167607, 0.0)","(2.419164896167607, 1.0)"
"(2.4358487920032457, 0.0)","(2.4358487920032457, 1.0)"
"(2.4525326878388847, 0.0)","(2.4525326878388847, 1.0)"
"(2.4692165836745232, 0.0)","(2.4692165836745232, 1.0)"
"(2.485900479510162, 0.0)","(2.485900479510162, 1.0)"
"(2.5025843753458004, 0.0)","(2.5025843753458004, 1.0)"
"(2.51926827118144, 0.0)","(2.51926827118144, 1.0)"
"(2.535952167017078, 0.0)","(2.535952167017078, 1.0)"
"(2.5526360628527165, 0.0)","(2.5526360628527165, 1.0)"
"(2.569319958688355, 0.0)","(2.569319958688355, 1.0)"
"(2.586003854523994, 0.0)","(2.586003854523994, 1.0)"
"(2.6026877503596326, 0.0)","(2.6026877503596326, 1.0)"
"(2.619371646195271, 0.0)","(2.619371646195271, 1.0)"
"(2.6360555420309097, 0.0)","(2.6360555420309097, 1.0)"
"(2.6527394378665488, 0.0)","(2.6527394378665488, 1.0)"
"(2.6694233337021878, 0.0)","(2.6694233337021878, 1.0)"
"(2.686107229537826, 0.0)","(2.686107229537826, 1.0)"
"(2.7027911253734644, 1.0)","(2.7027911253734644, 1.0)"
"(2.7194750212091034, 1.0)","(2.7194750212091034, 1.0)"
"(2.736158917044742, 0.0)","(2.736158917044742, 1.0)"
"(2.752842812880381, 0.0)","(2.752842812880381, 1.0)"
"(2.769526708716019, 0.0)","(2.769526708716019, 1.0)"
"(2.7862106045516577, 0.0)","(2.7862106045516577, 1.0)"
"(2.8028945003872967, 0.0)","(2.8028945003872967, 1.0)"
"(2.8195783962229357, 0.0)","(2.8195783962229357, 1.0)"
"(2.836262292058574, 0.0)","(2.836262292058574, 1.0)"
"(2.8529461878942124, 0.0)","(2.8529461878942124, 1.0)"
"(2.8696300837298514, 0.0)","(2.8696300837298514, 1.0)"
"(2.88631397956549, 0.0)","(2.88631397956549, 1.0)"
"(2.9029978754011285, 0.0)","(2.9029978754011285, 1.0)"
"(2.919681771236767, 0.0)","(2.919681771236767, 1.0)"
"(2.936365667072406, 0.0)","(2.936365667072406, 1.0)"
"(2.9530495629080447, 0.0)","(2.9530495629080447, 1.0)"
"(2.969733458743683, 0.0)","(2.969733458743683, 1.0)"
"(2.986417354579322, 0.0)","(2.986417354579322, 1.0)"
"(3.003101250414961, 0.0)","(3.003101250414961, 1.0)"
"(3.0197851462506, 0.0)","(3.0197851462506, 1.0)"
"(3.036469042086238, 0.0)","(3.036469042086238, 1.0)"
"(3.0531529379218765, 0.0)","(3.0531529379218765, 1.0)"
"(3.0698368337575155, 0.0)","(3.0698368337575155, 1.0)"
"(3.086520729593154, 0.0)","(3.086520729593154, 1.0)"
"(3.1032046254287926, 1.0)","(3.1032046254287926, 1.0)"
"(3.119888521264431, 0.0)","(3.119888521264431, 1.0)"
"(3.13657241710007, 0.0)","(3.13657241710007, 1.0)"
"(3.1532563129357087, 0.0)","(3.1532563129357087, 1.0)"
"(3.1699402087713477, 0.0)","(3.1699402087713477, 1.0)"
"(3.186624104606986, 0.0)","(3.186624104606986, 1.0)"
"(3.203308000442625, 0.0)","(3.203308000442625, 1.0)"
"(3.2199918962782634, 0.0)","(3.2199918962782634, 1.0)"
"(3.236675792113902, 0.0)","(3.236675792113902, 1.0)"
"(3.253359687949541, 0.0)","(3.253359687949541, 1.0)"
"(3.27004358378518, 0.0)","(3.27004358378518, 1.0)"
"(3.286727479620818, 0.0)","(3.286727479620818, 1.0)"
"(3.3034113754564567, 0.0)","(3.3034113754564567, 1.0)"
"(3.3200952712920957, 0.0)","(3.3200952712920957, 1.0)"
"(3.336779167127734, 0.0)","(3.336779167127734, 1.0)"
