FF times,LED times
"(0.0166836254829893, 0.0)","(0.0166836254829893, 1.0)"
"(0.0333672509659787, 0.0)","(0.0333672509659787, 1.0)"
"(0.050050876448968, 0.0)","(0.050050876448968, 1.0)"
"(0.0667345019319574, 0.0)","(0.0667345019319574, 1.0)"
"(0.0834181274149467, 0.0)","(0.0834181274149467, 1.0)"
"(0.1001017528979361, 0.0)","(0.1001017528979361, 1.0)"
"(0.1167853783809254, 0.0)","(0.1167853783809254, 1.0)"
"(0.1334690038639148, 1.0)","(0.1334690038639148, 1.0)"
"(0.1501526293469041, 1.0)","(0.1501526293469041, 1.0)"
"(0.1668362548298935, 0.0)","(0.1668362548298935, 1.0)"
"(0.1835198803128828, 0.0)","(0.1835198803128828, 1.0)"
"(0.2002035057958722, 0.0)","(0.2002035057958722, 1.0)"
"(0.2168871312788615, 0.0)","(0.2168871312788615, 1.0)"
"(0.2335707567618509, 0.0)","(0.2335707567618509, 1.0)"
"(0.2502543822448402, 0.0)","(0.2502543822448402, 1.0)"
"(0.2669380077278296, 0.0)","(0.2669380077278296, 1.0)"
"(0.2836216332108189, 0.0)","(0.2836216332108189, 1.0)"
"(0.3003052586938083, 0.0)","(0.3003052586938083, 1.0)"
"(0.3169888841767976, 0.0)","(0.3169888841767976, 1.0)"
"(0.333672509659787, 0.0)","(0.333672509659787, 1.0)"
"(0.3503561351427763, 0.0)","(0.3503561351427763, 1.0)"
"(0.3670397606257657, 0.0)","(0.3670397606257657, 1.0)"
"(0.383723386108755, 0.0)","(0.383723386108755, 1.0)"
"(0.4004070115917444, 0.0)","(0.4004070115917444, 1.0)"
"(0.4170906370747337, 0.0)","(0.4170906370747337, 1.0)"
"(0.4337742625577231, 0.0)","(0.4337742625577231, 1.0)"
"(0.4504578880407124, 0.0)","(0.4504578880407124, 1.0)"
"(0.4671415135237018, 0.0)","(0.4671415135237018, 1.0)"
"(0.4838251390066911, 0.0)","(0.4838251390066911, 1.0)"
"(0.5005087644896805, 0.0)","(0.5005087644896805, 1.0)"
"(0.5171923899726699, 0.0)","(0.5171923899726699, 1.0)"
"(0.5338760154556592, 0.0)","(0.5338760154556592, 1.0)"
"(0.5505596409386486, 0.0)","(0.5505596409386486, 1.0)"
"(0.5672432664216379, 0.0)","(0.5672432664216379, 1.0)"
"(0.5839268919046273, 0.0)","(0.5839268919046273, 1.0)"
"(0.6006105173876166, 0.0)","(0.6006105173876166, 1.0)"
"(0.617294142870606, 0.0)","(0.617294142870606, 1.0)"
"(0.6339777683535953, 0.0)","(0.6339777683535953, 1.0)"
"(0.6506613938365847, 0.0)","(0.6506613938365847, 1.0)"
"(0.667345019319574, 0.0)","(0.667345019319574, 1.0)"
"(0.6840286448025634, 0.0)","(0.6840286448025634, 1.0)"
"(0.7007122702855527, 0.0)","(0.7007122702855527, 1.0)"
"(0.7173958957685421, 0.0)","(0.7173958957685421, 1.0)"
"(0.7340795212515314, 0.0)","(0.7340795212515314, 1.0)"
"(0.7507631467345208, 0.0)","(0.7507631467345208, 1.0)"
"(0.7674467722175101, 0.0)","(0.7674467722175101, 1.0)"
"(0.7841303977004995, 0.0)","(0.7841303977004995, 1.0)"
"(0.8008140231834888, 0.0)","(0.8008140231834888, 1.0)"
