FF times,LED times
"(0.0166838642574895, 0.0)","(0.0166838642574895, 1.0)"
"(0.033367728514979, 0.0)","(0.033367728514979, 1.0)"
"(0.0500515927724685, 0.0)","(0.0500515927724685, 1.0)"
"(0.066735457029958, 0.0)","(0.066735457029958, 1.0)"
"(0.0834193212874475, 0.0)","(0.0834193212874475, 1.0)"
"(0.100103185544937, 0.0)","(0.100103185544937, 1.0)"
"(0.1167870498024265, 0.0)","(0.1167870498024265, 1.0)"
"(0.1334709140599161, 0.0)","(0.1334709140599161, 1.0)"
"(0.1501547783174056, 0.0)","(0.1501547783174056, 1.0)"
"(0.1668386425748951, 0.0)","(0.1668386425748951, 1.0)"
"(0.1835225068323846, 0.0)","(0.1835225068323846, 1.0)"
"(0.2002063710898741, 0.0)","(0.2002063710898741, 1.0)"
"(0.2168902353473636, 0.0)","(0.2168902353473636, 1.0)"
"(0.2335740996048531, 0.0)","(0.2335740996048531, 1.0)"
"(0.2502579638623426, 0.0)","(0.2502579638623426, 1.0)"
"(0.2669418281198322, 0.0)","(0.2669418281198322, 1.0)"
"(0.2836256923773217, 0.0)","(0.2836256923773217, 1.0)"
"(0.3003095566348112, 0.0)","(0.3003095566348112, 1.0)"
"(0.3169934208923007, 0.0)","(0.3169934208923007, 1.0)"
"(0.3336772851497903, 0.0)","(0.3336772851497903, 1.0)"
"(0.3503611494072797, 0.0)","(0.3503611494072797, 1.0)"
"(0.3670450136647692, 0.0)","(0.3670450136647692, 1.0)"
"(0.3837288779222588, 0.0)","(0.3837288779222588, 1.0)"
"(0.4004127421797483, 0.0)","(0.4004127421797483, 1.0)"
"(0.4170966064372378, 0.0)","(0.4170966064372378, 1.0)"
"(0.4337804706947273, 0.0)","(0.4337804706947273, 1.0)"
"(0.4504643349522168, 0.0)","(0.4504643349522168, 1.0)"
"(0.4671481992097063, 0.0)","(0.4671481992097063, 1.0)"
"(0.4838320634671958, 0.0)","(0.4838320634671958, 1.0)"
"(0.5005159277246853, 0.0)","(0.5005159277246853, 1.0)"
"(0.5171997919821749, 0.0)","(0.5171997919821749, 1.0)"
"(0.5338836562396644, 0.0)","(0.5338836562396644, 1.0)"
"(0.550567520497154, 0.0)","(0.550567520497154, 1.0)"
"(0.5672513847546434, 0.0)","(0.5672513847546434, 1.0)"
"(0.583935249012133, 0.0)","(0.583935249012133, 1.0)"
"(0.6006191132696225, 0.0)","(0.6006191132696225, 1.0)"
"(0.6173029775271119, 0.0)","(0.6173029775271119, 1.0)"
"(0.6339868417846015, 0.0)","(0.6339868417846015, 1.0)"
"(0.650670706042091, 0.0)","(0.650670706042091, 1.0)"
"(0.6673545702995806, 0.0)","(0.6673545702995806, 1.0)"
"(0.68403843455707, 0.0)","(0.68403843455707, 1.0)"
"(0.7007222988145595, 0.0)","(0.7007222988145595, 1.0)"
"(0.7174061630720491, 0.0)","(0.7174061630720491, 1.0)"
"(0.7340900273295385, 0.0)","(0.7340900273295385, 1.0)"
"(0.7507738915870281, 0.0)","(0.7507738915870281, 1.0)"
"(0.7674577558445176, 0.0)","(0.7674577558445176, 1.0)"
"(0.784141620102007, 0.0)","(0.784141620102007, 1.0)"
"(0.8008254843594966, 0.0)","(0.8008254843594966, 1.0)"
"(0.8175093486169861, 0.0)","(0.8175093486169861, 1.0)"
"(0.8341932128744757, 0.0)","(0.8341932128744757, 1.0)"
"(0.8508770771319651, 0.0)","(0.8508770771319651, 1.0)"
"(0.8675609413894547, 0.0)","(0.8675609413894547, 1.0)"
"(0.8842448056469442, 0.0)","(0.8842448056469442, 1.0)"
"(0.9009286699044337, 0.0)","(0.9009286699044337, 1.0)"
"(0.9176125341619232, 0.0)","(0.9176125341619232, 1.0)"
"(0.9342963984194128, 0.0)","(0.9342963984194128, 1.0)"
"(0.9509802626769024, 0.0)","(0.9509802626769024, 1.0)"
"(0.9676641269343916, 0.0)","(0.9676641269343916, 1.0)"
"(0.9843479911918812, 0.0)","(0.9843479911918812, 1.0)"
"(1.001031855449371, 0.0)","(1.001031855449371, 1.0)"
"(1.0177157197068605, 0.0)","(1.0177157197068605, 1.0)"
"(1.0343995839643498, 0.0)","(1.0343995839643498, 1.0)"
"(1.0510834482218394, 0.0)","(1.0510834482218394, 1.0)"
"(1.0677673124793288, 0.0)","(1.0677673124793288, 1.0)"
"(1.0844511767368183, 0.0)","(1.0844511767368183, 1.0)"
"(1.101135040994308, 0.0)","(1.101135040994308, 1.0)"
"(1.1178189052517973, 0.0)","(1.1178189052517973, 1.0)"
"(1.1345027695092869, 0.0)","(1.1345027695092869, 1.0)"
"(1.1511866337667764, 0.0)","(1.1511866337667764, 1.0)"
"(1.167870498024266, 0.0)","(1.167870498024266, 1.0)"
"(1.1845543622817554, 0.0)","(1.1845543622817554, 1.0)"
"(1.201238226539245, 0.0)","(1.201238226539245, 1.0)"
"(1.2179220907967343, 0.0)","(1.2179220907967343, 1.0)"
"(1.234605955054224, 0.0)","(1.234605955054224, 1.0)"
"(1.2512898193117137, 0.0)","(1.2512898193117137, 1.0)"
"(1.267973683569203, 0.0)","(1.267973683569203, 1.0)"
"(1.2846575478266924, 0.0)","(1.2846575478266924, 1.0)"
"(1.301341412084182, 0.0)","(1.301341412084182, 1.0)"
"(1.3180252763416715, 0.0)","(1.3180252763416715, 1.0)"
"(1.3347091405991611, 0.0)","(1.3347091405991611, 1.0)"
"(1.3513930048566505, 0.0)","(1.3513930048566505, 1.0)"
"(1.36807686911414, 0.0)","(1.36807686911414, 1.0)"
"(1.3847607333716296, 0.0)","(1.3847607333716296, 1.0)"
"(1.401444597629119, 0.0)","(1.401444597629119, 1.0)"
"(1.4181284618866086, 0.0)","(1.4181284618866086, 1.0)"
"(1.434812326144098, 0.0)","(1.434812326144098, 1.0)"
"(1.4514961904015875, 0.0)","(1.4514961904015875, 1.0)"
"(1.468180054659077, 0.0)","(1.468180054659077, 1.0)"
"(1.4848639189165669, 0.0)","(1.4848639189165669, 1.0)"
"(1.5015477831740562, 0.0)","(1.5015477831740562, 1.0)"
"(1.5182316474315456, 0.0)","(1.5182316474315456, 1.0)"
"(1.5349155116890352, 0.0)","(1.5349155116890352, 1.0)"
"(1.5515993759465248, 0.0)","(1.5515993759465248, 1.0)"
"(1.568283240204014, 0.0)","(1.568283240204014, 1.0)"
"(1.5849671044615037, 0.0)","(1.5849671044615037, 1.0)"
"(1.6016509687189933, 0.0)","(1.6016509687189933, 1.0)"
"(1.6183348329764828, 0.0)","(1.6183348329764828, 1.0)"
"(1.6350186972339722, 0.0)","(1.6350186972339722, 1.0)"
"(1.6517025614914618, 0.0)","(1.6517025614914618, 1.0)"
"(1.6683864257489514, 0.0)","(1.6683864257489514, 1.0)"
"(1.6850702900064407, 0.0)","(1.6850702900064407, 1.0)"
"(1.7017541542639305, 0.0)","(1.7017541542639305, 1.0)"
"(1.71843801852142, 0.0)","(1.71843801852142, 1.0)"
"(1.7351218827789094, 0.0)","(1.7351218827789094, 1.0)"
"(1.7518057470363988, 0.0)","(1.7518057470363988, 1.0)"
"(1.7684896112938884, 0.0)","(1.7684896112938884, 1.0)"
"(1.785173475551378, 0.0)","(1.785173475551378, 1.0)"
"(1.8018573398088675, 0.0)","(1.8018573398088675, 1.0)"
"(1.8185412040663569, 0.0)","(1.8185412040663569, 1.0)"
"(1.8352250683238465, 0.0)","(1.8352250683238465, 1.0)"
"(1.851908932581336, 0.0)","(1.851908932581336, 1.0)"
"(1.8685927968388252, 0.0)","(1.8685927968388252, 1.0)"
"(1.885276661096315, 0.0)","(1.885276661096315, 1.0)"
"(1.9019605253538048, 0.0)","(1.9019605253538048, 1.0)"
"(1.918644389611294, 0.0)","(1.918644389611294, 1.0)"
"(1.9353282538687837, 0.0)","(1.9353282538687837, 1.0)"
"(1.952012118126273, 0.0)","(1.952012118126273, 1.0)"
"(1.9686959823837624, 0.0)","(1.9686959823837624, 1.0)"
"(1.985379846641252, 0.0)","(1.985379846641252, 1.0)"
