FF times,LED times
"(0.0166839345910461, 0.0)","(0.0166839345910461, 1.0)"
"(0.0333678691820923, 0.0)","(0.0333678691820923, 1.0)"
"(0.0500518037731385, 0.0)","(0.0500518037731385, 1.0)"
"(0.0667357383641847, 0.0)","(0.0667357383641847, 1.0)"
"(0.0834196729552309, 0.0)","(0.0834196729552309, 1.0)"
"(0.1001036075462771, 0.0)","(0.1001036075462771, 1.0)"
"(0.1167875421373233, 0.0)","(0.1167875421373233, 1.0)"
"(0.1334714767283695, 0.0)","(0.1334714767283695, 1.0)"
"(0.1501554113194157, 0.0)","(0.1501554113194157, 1.0)"
"(0.1668393459104619, 0.0)","(0.1668393459104619, 1.0)"
"(0.183523280501508, 0.0)","(0.183523280501508, 1.0)"
"(0.2002072150925542, 0.0)","(0.2002072150925542, 1.0)"
"(0.2168911496836004, 0.0)","(0.2168911496836004, 1.0)"
"(0.2335750842746466, 0.0)","(0.2335750842746466, 1.0)"
"(0.2502590188656928, 0.0)","(0.2502590188656928, 1.0)"
"(0.266942953456739, 0.0)","(0.266942953456739, 1.0)"
"(0.2836268880477852, 1.0)","(0.2836268880477852, 1.0)"
"(0.3003108226388314, 1.0)","(0.3003108226388314, 1.0)"
"(0.3169947572298776, 0.0)","(0.3169947572298776, 1.0)"
"(0.3336786918209238, 0.0)","(0.3336786918209238, 1.0)"
"(0.3503626264119699, 0.0)","(0.3503626264119699, 1.0)"
"(0.3670465610030161, 0.0)","(0.3670465610030161, 1.0)"
"(0.3837304955940623, 0.0)","(0.3837304955940623, 1.0)"
"(0.4004144301851085, 0.0)","(0.4004144301851085, 1.0)"
"(0.4170983647761547, 0.0)","(0.4170983647761547, 1.0)"
"(0.4337822993672009, 0.0)","(0.4337822993672009, 1.0)"
"(0.4504662339582471, 0.0)","(0.4504662339582471, 1.0)"
"(0.4671501685492933, 0.0)","(0.4671501685492933, 1.0)"
"(0.4838341031403395, 0.0)","(0.4838341031403395, 1.0)"
"(0.5005180377313857, 0.0)","(0.5005180377313857, 1.0)"
"(0.5172019723224318, 0.0)","(0.5172019723224318, 1.0)"
"(0.533885906913478, 0.0)","(0.533885906913478, 1.0)"
"(0.5505698415045243, 0.0)","(0.5505698415045243, 1.0)"
"(0.5672537760955704, 0.0)","(0.5672537760955704, 1.0)"
"(0.5839377106866166, 0.0)","(0.5839377106866166, 1.0)"
"(0.6006216452776628, 0.0)","(0.6006216452776628, 1.0)"
"(0.6173055798687089, 0.0)","(0.6173055798687089, 1.0)"
"(0.6339895144597552, 0.0)","(0.6339895144597552, 1.0)"
"(0.6506734490508014, 0.0)","(0.6506734490508014, 1.0)"
"(0.6673573836418476, 1.0)","(0.6673573836418476, 1.0)"
"(0.6840413182328937, 1.0)","(0.6840413182328937, 1.0)"
"(0.7007252528239399, 1.0)","(0.7007252528239399, 1.0)"
"(0.7174091874149862, 0.0)","(0.7174091874149862, 1.0)"
"(0.7340931220060323, 0.0)","(0.7340931220060323, 1.0)"
"(0.7507770565970785, 0.0)","(0.7507770565970785, 1.0)"
"(0.7674609911881247, 0.0)","(0.7674609911881247, 1.0)"
"(0.7841449257791708, 0.0)","(0.7841449257791708, 1.0)"
"(0.800828860370217, 0.0)","(0.800828860370217, 1.0)"
"(0.8175127949612633, 0.0)","(0.8175127949612633, 1.0)"
"(0.8341967295523094, 0.0)","(0.8341967295523094, 1.0)"
"(0.8508806641433556, 0.0)","(0.8508806641433556, 1.0)"
"(0.8675645987344018, 0.0)","(0.8675645987344018, 1.0)"
"(0.8842485333254481, 0.0)","(0.8842485333254481, 1.0)"
