FF times,LED times
"(0.0166839927143799, 0.0)","(0.0166839927143799, 1.0)"
"(0.0333679854287598, 0.0)","(0.0333679854287598, 1.0)"
"(0.0500519781431397, 0.0)","(0.0500519781431397, 1.0)"
"(0.0667359708575196, 0.0)","(0.0667359708575196, 1.0)"
"(0.0834199635718995, 0.0)","(0.0834199635718995, 1.0)"
"(0.1001039562862794, 0.0)","(0.1001039562862794, 1.0)"
"(0.1167879490006593, 0.0)","(0.1167879490006593, 1.0)"
"(0.1334719417150393, 0.0)","(0.1334719417150393, 1.0)"
"(0.1501559344294192, 0.0)","(0.1501559344294192, 1.0)"
"(0.1668399271437991, 0.0)","(0.1668399271437991, 1.0)"
"(0.183523919858179, 0.0)","(0.183523919858179, 1.0)"
"(0.2002079125725589, 0.0)","(0.2002079125725589, 1.0)"
"(0.2168919052869388, 1.0)","(0.2168919052869388, 1.0)"
"(0.2335758980013187, 1.0)","(0.2335758980013187, 1.0)"
"(0.2502598907156987, 1.0)","(0.2502598907156987, 1.0)"
"(0.2669438834300786, 0.0)","(0.2669438834300786, 1.0)"
"(0.2836278761444585, 0.0)","(0.2836278761444585, 1.0)"
"(0.3003118688588384, 0.0)","(0.3003118688588384, 1.0)"
"(0.3169958615732183, 0.0)","(0.3169958615732183, 1.0)"
"(0.3336798542875982, 0.0)","(0.3336798542875982, 1.0)"
"(0.3503638470019781, 0.0)","(0.3503638470019781, 1.0)"
"(0.367047839716358, 0.0)","(0.367047839716358, 1.0)"
"(0.383731832430738, 0.0)","(0.383731832430738, 1.0)"
"(0.4004158251451179, 0.0)","(0.4004158251451179, 1.0)"
"(0.4170998178594978, 0.0)","(0.4170998178594978, 1.0)"
"(0.4337838105738777, 0.0)","(0.4337838105738777, 1.0)"
"(0.4504678032882576, 0.0)","(0.4504678032882576, 1.0)"
"(0.4671517960026375, 0.0)","(0.4671517960026375, 1.0)"
"(0.4838357887170174, 0.0)","(0.4838357887170174, 1.0)"
"(0.5005197814313974, 0.0)","(0.5005197814313974, 1.0)"
