FF times,LED times
"(0.0166839661987612, 0.0)","(0.0166839661987612, 1.0)"
"(0.0333679323975224, 0.0)","(0.0333679323975224, 1.0)"
"(0.0500518985962837, 0.0)","(0.0500518985962837, 1.0)"
"(0.0667358647950449, 0.0)","(0.0667358647950449, 1.0)"
"(0.0834198309938062, 0.0)","(0.0834198309938062, 1.0)"
"(0.1001037971925674, 0.0)","(0.1001037971925674, 1.0)"
"(0.1167877633913287, 0.0)","(0.1167877633913287, 1.0)"
"(0.1334717295900899, 0.0)","(0.1334717295900899, 1.0)"
"(0.1501556957888512, 0.0)","(0.1501556957888512, 1.0)"
"(0.1668396619876124, 0.0)","(0.1668396619876124, 1.0)"
"(0.1835236281863737, 0.0)","(0.1835236281863737, 1.0)"
"(0.2002075943851349, 0.0)","(0.2002075943851349, 1.0)"
"(0.2168915605838962, 0.0)","(0.2168915605838962, 1.0)"
"(0.2335755267826574, 0.0)","(0.2335755267826574, 1.0)"
"(0.2502594929814187, 0.0)","(0.2502594929814187, 1.0)"
"(0.2669434591801799, 0.0)","(0.2669434591801799, 1.0)"
"(0.2836274253789411, 0.0)","(0.2836274253789411, 1.0)"
"(0.3003113915777024, 0.0)","(0.3003113915777024, 1.0)"
"(0.3169953577764636, 0.0)","(0.3169953577764636, 1.0)"
"(0.3336793239752249, 0.0)","(0.3336793239752249, 1.0)"
"(0.3503632901739861, 0.0)","(0.3503632901739861, 1.0)"
"(0.3670472563727474, 0.0)","(0.3670472563727474, 1.0)"
"(0.3837312225715086, 0.0)","(0.3837312225715086, 1.0)"
"(0.4004151887702699, 0.0)","(0.4004151887702699, 1.0)"
"(0.4170991549690311, 0.0)","(0.4170991549690311, 1.0)"
"(0.4337831211677924, 0.0)","(0.4337831211677924, 1.0)"
"(0.4504670873665536, 0.0)","(0.4504670873665536, 1.0)"
"(0.4671510535653148, 0.0)","(0.4671510535653148, 1.0)"
"(0.4838350197640761, 0.0)","(0.4838350197640761, 1.0)"
"(0.5005189859628374, 0.0)","(0.5005189859628374, 1.0)"
"(0.5172029521615986, 0.0)","(0.5172029521615986, 1.0)"
"(0.5338869183603598, 0.0)","(0.5338869183603598, 1.0)"
"(0.5505708845591211, 0.0)","(0.5505708845591211, 1.0)"
"(0.5672548507578823, 0.0)","(0.5672548507578823, 1.0)"
"(0.5839388169566435, 0.0)","(0.5839388169566435, 1.0)"
"(0.6006227831554048, 0.0)","(0.6006227831554048, 1.0)"
"(0.6173067493541661, 0.0)","(0.6173067493541661, 1.0)"
"(0.6339907155529273, 0.0)","(0.6339907155529273, 1.0)"
"(0.6506746817516885, 0.0)","(0.6506746817516885, 1.0)"
"(0.6673586479504497, 0.0)","(0.6673586479504497, 1.0)"
"(0.6840426141492111, 0.0)","(0.6840426141492111, 1.0)"
"(0.7007265803479723, 0.0)","(0.7007265803479723, 1.0)"
"(0.7174105465467335, 0.0)","(0.7174105465467335, 1.0)"
"(0.7340945127454948, 0.0)","(0.7340945127454948, 1.0)"
"(0.750778478944256, 0.0)","(0.750778478944256, 1.0)"
"(0.7674624451430172, 0.0)","(0.7674624451430172, 1.0)"
"(0.7841464113417785, 0.0)","(0.7841464113417785, 1.0)"
"(0.8008303775405398, 0.0)","(0.8008303775405398, 1.0)"
"(0.817514343739301, 0.0)","(0.817514343739301, 1.0)"
"(0.8341983099380622, 0.0)","(0.8341983099380622, 1.0)"
