FF times,LED times
"(0.0166839078024203, 0.0)","(0.0166839078024203, 1.0)"
"(0.0333678156048406, 0.0)","(0.0333678156048406, 1.0)"
"(0.0500517234072609, 0.0)","(0.0500517234072609, 1.0)"
"(0.0667356312096812, 0.0)","(0.0667356312096812, 1.0)"
"(0.0834195390121015, 0.0)","(0.0834195390121015, 1.0)"
"(0.1001034468145218, 0.0)","(0.1001034468145218, 1.0)"
"(0.1167873546169421, 0.0)","(0.1167873546169421, 1.0)"
"(0.1334712624193624, 0.0)","(0.1334712624193624, 1.0)"
"(0.1501551702217827, 0.0)","(0.1501551702217827, 1.0)"
"(0.166839078024203, 0.0)","(0.166839078024203, 1.0)"
"(0.1835229858266233, 0.0)","(0.1835229858266233, 1.0)"
"(0.2002068936290436, 0.0)","(0.2002068936290436, 1.0)"
"(0.2168908014314639, 0.0)","(0.2168908014314639, 1.0)"
"(0.2335747092338842, 0.0)","(0.2335747092338842, 1.0)"
"(0.2502586170363045, 0.0)","(0.2502586170363045, 1.0)"
"(0.2669425248387248, 1.0)","(0.2669425248387248, 1.0)"
"(0.2836264326411452, 1.0)","(0.2836264326411452, 1.0)"
"(0.3003103404435654, 1.0)","(0.3003103404435654, 1.0)"
"(0.3169942482459857, 0.0)","(0.3169942482459857, 1.0)"
"(0.333678156048406, 0.0)","(0.333678156048406, 1.0)"
"(0.3503620638508263, 0.0)","(0.3503620638508263, 1.0)"
"(0.3670459716532466, 0.0)","(0.3670459716532466, 1.0)"
"(0.383729879455667, 0.0)","(0.383729879455667, 1.0)"
"(0.4004137872580873, 0.0)","(0.4004137872580873, 1.0)"
"(0.4170976950605076, 0.0)","(0.4170976950605076, 1.0)"
"(0.4337816028629279, 0.0)","(0.4337816028629279, 1.0)"
"(0.4504655106653482, 0.0)","(0.4504655106653482, 1.0)"
"(0.4671494184677685, 0.0)","(0.4671494184677685, 1.0)"
"(0.4838333262701887, 0.0)","(0.4838333262701887, 1.0)"
"(0.5005172340726091, 0.0)","(0.5005172340726091, 1.0)"
