FF times,LED times
"(1.584967043952987, 0.0)","(1.584967043952987, 1.0)"
"(1.6016509075735448, 0.0)","(1.6016509075735448, 1.0)"
"(1.6183347711941023, 0.0)","(1.6183347711941023, 1.0)"
"(1.6350186348146605, 0.0)","(1.6350186348146605, 1.0)"
"(1.651702498435218, 0.0)","(1.651702498435218, 1.0)"
"(1.6683863620557755, 0.0)","(1.6683863620557755, 1.0)"
"(1.6850702256763337, 0.0)","(1.6850702256763337, 1.0)"
"(1.7017540892968914, 0.0)","(1.7017540892968914, 1.0)"
"(1.7184379529174492, 0.0)","(1.7184379529174492, 1.0)"
"(1.735121816538007, 0.0)","(1.735121816538007, 1.0)"
"(1.7518056801585646, 0.0)","(1.7518056801585646, 1.0)"
"(1.7684895437791224, 0.0)","(1.7684895437791224, 1.0)"
"(1.78517340739968, 0.0)","(1.78517340739968, 1.0)"
"(1.8018572710202376, 0.0)","(1.8018572710202376, 1.0)"
"(1.818541134640796, 0.0)","(1.818541134640796, 1.0)"
"(1.835224998261353, 0.0)","(1.835224998261353, 1.0)"
"(1.8519088618819115, 0.0)","(1.8519088618819115, 1.0)"
"(1.868592725502469, 0.0)","(1.868592725502469, 1.0)"
"(1.8852765891230268, 0.0)","(1.8852765891230268, 1.0)"
"(1.9019604527435845, 0.0)","(1.9019604527435845, 1.0)"
"(1.9186443163641425, 0.0)","(1.9186443163641425, 1.0)"
"(1.9353281799847, 0.0)","(1.9353281799847, 1.0)"
"(1.9520120436052577, 0.0)","(1.9520120436052577, 1.0)"
"(1.9686959072258157, 0.0)","(1.9686959072258157, 1.0)"
"(1.9853797708463727, 0.0)","(1.9853797708463727, 1.0)"
"(2.002063634466931, 0.0)","(2.002063634466931, 1.0)"
"(2.018747498087489, 0.0)","(2.018747498087489, 1.0)"
"(2.0354313617080466, 0.0)","(2.0354313617080466, 1.0)"
"(2.0521152253286044, 0.0)","(2.0521152253286044, 1.0)"
"(2.068799088949162, 0.0)","(2.068799088949162, 1.0)"
"(2.08548295256972, 0.0)","(2.08548295256972, 1.0)"
"(2.1021668161902776, 0.0)","(2.1021668161902776, 1.0)"
"(2.1188506798108357, 0.0)","(2.1188506798108357, 1.0)"
"(2.135534543431393, 0.0)","(2.135534543431393, 1.0)"
"(2.1522184070519508, 0.0)","(2.1522184070519508, 1.0)"
"(2.1689022706725085, 0.0)","(2.1689022706725085, 1.0)"
"(2.1855861342930663, 0.0)","(2.1855861342930663, 1.0)"
"(2.202269997913624, 0.0)","(2.202269997913624, 1.0)"
"(2.2189538615341817, 0.0)","(2.2189538615341817, 1.0)"
"(2.2356377251547395, 0.0)","(2.2356377251547395, 1.0)"
"(2.252321588775297, 0.0)","(2.252321588775297, 1.0)"
"(2.269005452395855, 0.0)","(2.269005452395855, 1.0)"
"(2.285689316016413, 0.0)","(2.285689316016413, 1.0)"
"(2.302373179636971, 0.0)","(2.302373179636971, 1.0)"
"(2.3190570432575286, 0.0)","(2.3190570432575286, 1.0)"
"(2.3357409068780863, 0.0)","(2.3357409068780863, 1.0)"
"(2.352424770498644, 0.0)","(2.352424770498644, 1.0)"
"(2.369108634119202, 0.0)","(2.369108634119202, 1.0)"
"(2.3857924977397595, 0.0)","(2.3857924977397595, 1.0)"
"(2.4024763613603173, 0.0)","(2.4024763613603173, 1.0)"
"(2.419160224980875, 0.0)","(2.419160224980875, 1.0)"
"(2.4358440886014328, 0.0)","(2.4358440886014328, 1.0)"
"(2.4525279522219905, 0.0)","(2.4525279522219905, 1.0)"
"(2.469211815842548, 0.0)","(2.469211815842548, 1.0)"
