FF times,LED times
"(0.0166833333333333, 0.0)","(0.0166833333333333, 1.0)"
"(0.0333666666666666, 0.0)","(0.0333666666666666, 1.0)"
"(0.05005, 0.0)","(0.05005, 1.0)"
"(0.0667333333333333, 0.0)","(0.0667333333333333, 1.0)"
"(0.0834166666666666, 0.0)","(0.0834166666666666, 1.0)"
"(0.1001, 0.0)","(0.1001, 1.0)"
"(0.1167833333333333, 0.0)","(0.1167833333333333, 1.0)"
"(0.1334666666666666, 0.0)","(0.1334666666666666, 1.0)"
"(0.15015, 0.0)","(0.15015, 1.0)"
"(0.1668333333333333, 0.0)","(0.1668333333333333, 1.0)"
"(0.1835166666666666, 1.0)","(0.1835166666666666, 1.0)"
"(0.2002, 1.0)","(0.2002, 1.0)"
"(0.2168833333333333, 1.0)","(0.2168833333333333, 1.0)"
"(0.2335666666666666, 1.0)","(0.2335666666666666, 1.0)"
"(0.25025, 0.0)","(0.25025, 1.0)"
"(0.2669333333333333, 0.0)","(0.2669333333333333, 1.0)"
"(0.2836166666666667, 0.0)","(0.2836166666666667, 1.0)"
"(0.3003, 0.0)","(0.3003, 1.0)"
"(0.3169833333333333, 0.0)","(0.3169833333333333, 1.0)"
"(0.3336666666666666, 0.0)","(0.3336666666666666, 1.0)"
"(0.35035, 0.0)","(0.35035, 1.0)"
"(0.3670333333333333, 0.0)","(0.3670333333333333, 1.0)"
"(0.3837166666666666, 0.0)","(0.3837166666666666, 1.0)"
"(0.4004, 0.0)","(0.4004, 1.0)"
"(0.4170833333333333, 0.0)","(0.4170833333333333, 1.0)"
"(0.4337666666666667, 0.0)","(0.4337666666666667, 1.0)"
"(0.45045, 0.0)","(0.45045, 1.0)"
"(0.4671333333333333, 0.0)","(0.4671333333333333, 1.0)"
"(0.4838166666666667, 0.0)","(0.4838166666666667, 1.0)"
"(0.5005000000000001, 0.0)","(0.5005000000000001, 1.0)"
"(0.5171833333333333, 0.0)","(0.5171833333333333, 1.0)"
"(0.5338666666666667, 0.0)","(0.5338666666666667, 1.0)"
"(0.55055, 0.0)","(0.55055, 1.0)"
"(0.5672333333333334, 0.0)","(0.5672333333333334, 1.0)"
"(0.5839166666666666, 0.0)","(0.5839166666666666, 1.0)"
"(0.6006, 0.0)","(0.6006, 1.0)"
"(0.6172833333333333, 0.0)","(0.6172833333333333, 1.0)"
"(0.6339666666666667, 0.0)","(0.6339666666666667, 1.0)"
"(0.6506500000000001, 0.0)","(0.6506500000000001, 1.0)"
"(0.6673333333333333, 1.0)","(0.6673333333333333, 1.0)"
"(0.6840166666666667, 1.0)","(0.6840166666666667, 1.0)"
"(0.7007, 1.0)","(0.7007, 1.0)"
"(0.7173833333333334, 1.0)","(0.7173833333333334, 1.0)"
"(0.7340666666666666, 0.0)","(0.7340666666666666, 1.0)"
"(0.75075, 0.0)","(0.75075, 1.0)"
"(0.7674333333333333, 0.0)","(0.7674333333333333, 1.0)"
"(0.7841166666666667, 0.0)","(0.7841166666666667, 1.0)"
"(0.8008000000000001, 0.0)","(0.8008000000000001, 1.0)"
"(0.8174833333333333, 0.0)","(0.8174833333333333, 1.0)"
"(0.8341666666666667, 0.0)","(0.8341666666666667, 1.0)"
"(0.85085, 0.0)","(0.85085, 1.0)"
"(0.8675333333333334, 0.0)","(0.8675333333333334, 1.0)"
"(0.8842166666666667, 0.0)","(0.8842166666666667, 1.0)"
"(0.9009, 0.0)","(0.9009, 1.0)"
"(0.9175833333333332, 0.0)","(0.9175833333333332, 1.0)"
"(0.9342666666666668, 0.0)","(0.9342666666666668, 1.0)"
"(0.95095, 0.0)","(0.95095, 1.0)"
"(0.9676333333333332, 0.0)","(0.9676333333333332, 1.0)"
"(0.9843166666666668, 0.0)","(0.9843166666666668, 1.0)"
"(1.001, 0.0)","(1.001, 1.0)"
"(1.0176833333333333, 0.0)","(1.0176833333333333, 1.0)"
"(1.0343666666666669, 0.0)","(1.0343666666666669, 1.0)"
"(1.05105, 0.0)","(1.05105, 1.0)"
"(1.0677333333333334, 0.0)","(1.0677333333333334, 1.0)"
"(1.0844166666666666, 0.0)","(1.0844166666666666, 1.0)"
"(1.1011, 0.0)","(1.1011, 1.0)"
"(1.1177833333333334, 0.0)","(1.1177833333333334, 1.0)"
"(1.1344666666666667, 0.0)","(1.1344666666666667, 1.0)"
"(1.15115, 1.0)","(1.15115, 1.0)"
"(1.1678333333333333, 1.0)","(1.1678333333333333, 1.0)"
"(1.1845166666666669, 1.0)","(1.1845166666666669, 1.0)"
"(1.2012, 0.0)","(1.2012, 1.0)"
"(1.2178833333333334, 0.0)","(1.2178833333333334, 1.0)"
"(1.2345666666666666, 0.0)","(1.2345666666666666, 1.0)"
"(1.25125, 0.0)","(1.25125, 1.0)"
"(1.2679333333333334, 0.0)","(1.2679333333333334, 1.0)"
"(1.2846166666666667, 0.0)","(1.2846166666666667, 1.0)"
"(1.3013, 0.0)","(1.3013, 1.0)"
"(1.3179833333333333, 0.0)","(1.3179833333333333, 1.0)"
"(1.334666666666667, 0.0)","(1.334666666666667, 1.0)"
"(1.35135, 0.0)","(1.35135, 1.0)"
"(1.3680333333333334, 0.0)","(1.3680333333333334, 1.0)"
"(1.3847166666666666, 0.0)","(1.3847166666666666, 1.0)"
"(1.4014, 0.0)","(1.4014, 1.0)"
"(1.4180833333333334, 0.0)","(1.4180833333333334, 1.0)"
"(1.4347666666666667, 0.0)","(1.4347666666666667, 1.0)"
"(1.45145, 0.0)","(1.45145, 1.0)"
"(1.4681333333333333, 0.0)","(1.4681333333333333, 1.0)"
"(1.484816666666667, 0.0)","(1.484816666666667, 1.0)"
"(1.5015, 0.0)","(1.5015, 1.0)"
"(1.5181833333333334, 0.0)","(1.5181833333333334, 1.0)"
"(1.5348666666666666, 0.0)","(1.5348666666666666, 1.0)"
"(1.55155, 0.0)","(1.55155, 1.0)"
"(1.5682333333333334, 0.0)","(1.5682333333333334, 1.0)"
"(1.5849166666666668, 0.0)","(1.5849166666666668, 1.0)"
"(1.6016, 0.0)","(1.6016, 1.0)"
"(1.6182833333333333, 0.0)","(1.6182833333333333, 1.0)"
"(1.634966666666667, 0.0)","(1.634966666666667, 1.0)"
"(1.65165, 0.0)","(1.65165, 1.0)"
"(1.6683333333333334, 0.0)","(1.6683333333333334, 1.0)"
"(1.6850166666666666, 0.0)","(1.6850166666666666, 1.0)"
"(1.7017, 0.0)","(1.7017, 1.0)"
"(1.7183833333333334, 1.0)","(1.7183833333333334, 1.0)"
"(1.7350666666666668, 1.0)","(1.7350666666666668, 1.0)"
"(1.75175, 0.0)","(1.75175, 1.0)"
"(1.7684333333333333, 1.0)","(1.7684333333333333, 1.0)"
"(1.785116666666667, 0.0)","(1.785116666666667, 1.0)"
"(1.8018, 0.0)","(1.8018, 1.0)"
"(1.8184833333333332, 0.0)","(1.8184833333333332, 1.0)"
"(1.8351666666666664, 0.0)","(1.8351666666666664, 1.0)"
"(1.85185, 0.0)","(1.85185, 1.0)"
"(1.8685333333333332, 0.0)","(1.8685333333333332, 1.0)"
"(1.8852166666666668, 0.0)","(1.8852166666666668, 1.0)"
"(1.9019, 0.0)","(1.9019, 1.0)"
"(1.9185833333333333, 0.0)","(1.9185833333333333, 1.0)"
"(1.9352666666666667, 0.0)","(1.9352666666666667, 1.0)"
"(1.95195, 0.0)","(1.95195, 1.0)"
"(1.9686333333333332, 0.0)","(1.9686333333333332, 1.0)"
"(1.9853166666666664, 0.0)","(1.9853166666666664, 1.0)"
"(2.002, 0.0)","(2.002, 1.0)"
"(2.018683333333333, 0.0)","(2.018683333333333, 1.0)"
