FF times,LED times
"(0.0, 1)","(0.0, 1)"
"(0.016666666666666666, 0)","(0.016666666666666666, 1)"
"(0.03333333333333333, 0)","(0.03333333333333333, 1)"
"(0.05, 0)","(0.05, 1)"
"(0.06666666666666667, 0)","(0.06666666666666667, 1)"
"(0.08333333333333333, 0)","(0.08333333333333333, 1)"
"(0.1, 0)","(0.1, 1)"
"(0.11666666666666667, 0)","(0.11666666666666667, 1)"
"(0.13333333333333333, 0)","(0.13333333333333333, 1)"
"(0.15, 0)","(0.15, 1)"
"(0.16666666666666666, 0)","(0.16666666666666666, 1)"
"(0.18333333333333332, 0)","(0.18333333333333332, 1)"
"(0.2, 0)","(0.2, 1)"
"(0.21666666666666667, 0)","(0.21666666666666667, 1)"
"(0.23333333333333334, 0)","(0.23333333333333334, 1)"
"(0.25, 0)","(0.25, 1)"
"(0.26666666666666666, 0)","(0.26666666666666666, 1)"
"(0.2833333333333333, 0)","(0.2833333333333333, 1)"
"(0.3, 0)","(0.3, 1)"
"(0.31666666666666665, 0)","(0.31666666666666665, 1)"
"(0.3333333333333333, 0)","(0.3333333333333333, 1)"
"(0.35, 0)","(0.35, 1)"
"(0.36666666666666664, 0)","(0.36666666666666664, 1)"
"(0.3833333333333333, 0)","(0.3833333333333333, 1)"
"(0.4, 0)","(0.4, 1)"
"(0.4166666666666667, 0)","(0.4166666666666667, 1)"
"(0.43333333333333335, 0)","(0.43333333333333335, 1)"
"(0.45, 0)","(0.45, 1)"
"(0.4666666666666667, 0)","(0.4666666666666667, 1)"
"(0.48333333333333334, 0)","(0.48333333333333334, 1)"
"(0.5, 0)","(0.5, 1)"
"(0.5166666666666666, 0)","(0.5166666666666666, 1)"
"(0.5333333333333333, 0)","(0.5333333333333333, 1)"
"(0.55, 0)","(0.55, 1)"
"(0.5666666666666667, 0)","(0.5666666666666667, 1)"
"(0.5833333333333334, 0)","(0.5833333333333334, 1)"
"(0.6, 0)","(0.6, 1)"
"(0.6166666666666667, 0)","(0.6166666666666667, 1)"
"(0.6333333333333333, 0)","(0.6333333333333333, 1)"
"(0.65, 0)","(0.65, 1)"
"(0.6666666666666666, 0)","(0.6666666666666666, 1)"
"(0.6833333333333333, 0)","(0.6833333333333333, 1)"
"(0.7, 0)","(0.7, 1)"
"(0.7166666666666667, 0)","(0.7166666666666667, 1)"
"(0.7333333333333333, 0)","(0.7333333333333333, 1)"
"(0.75, 0)","(0.75, 1)"
"(0.7666666666666666, 0)","(0.7666666666666666, 1)"
"(0.7833333333333333, 0)","(0.7833333333333333, 1)"
"(0.8, 0)","(0.8, 1)"
"(0.8166666666666667, 0)","(0.8166666666666667, 1)"
"(0.8333333333333334, 0)","(0.8333333333333334, 1)"
"(0.85, 0)","(0.85, 1)"
"(0.8666666666666667, 0)","(0.8666666666666667, 1)"
"(0.8833333333333333, 0)","(0.8833333333333333, 1)"
"(0.9, 0)","(0.9, 1)"
"(0.9166666666666666, 0)","(0.9166666666666666, 1)"
"(0.9333333333333333, 0)","(0.9333333333333333, 1)"
"(0.95, 0)","(0.95, 1)"
"(0.9666666666666667, 0)","(0.9666666666666667, 1)"
"(0.9833333333333333, 0)","(0.9833333333333333, 1)"
"(1.0, 0)","(1.0, 1)"
"(1.0166666666666666, 0)","(1.0166666666666666, 1)"
"(1.0333333333333332, 0)","(1.0333333333333332, 1)"
"(1.05, 0)","(1.05, 1)"
"(1.0666666666666667, 0)","(1.0666666666666667, 1)"
"(1.0833333333333333, 0)","(1.0833333333333333, 1)"
"(1.1, 0)","(1.1, 1)"
"(1.1166666666666667, 0)","(1.1166666666666667, 1)"
"(1.1333333333333333, 0)","(1.1333333333333333, 1)"
"(1.15, 0)","(1.15, 1)"
"(1.1666666666666667, 0)","(1.1666666666666667, 1)"
"(1.1833333333333333, 0)","(1.1833333333333333, 1)"
"(1.2, 0)","(1.2, 1)"
"(1.2166666666666666, 0)","(1.2166666666666666, 1)"
"(1.2333333333333334, 0)","(1.2333333333333334, 1)"
"(1.25, 0)","(1.25, 1)"
"(1.2666666666666666, 0)","(1.2666666666666666, 1)"
"(1.2833333333333332, 0)","(1.2833333333333332, 1)"
"(1.3, 0)","(1.3, 1)"
"(1.3166666666666667, 0)","(1.3166666666666667, 1)"
"(1.3333333333333333, 0)","(1.3333333333333333, 1)"
"(1.35, 0)","(1.35, 1)"
"(1.3666666666666667, 0)","(1.3666666666666667, 1)"
"(1.3833333333333333, 0)","(1.3833333333333333, 1)"
"(1.4, 0)","(1.4, 1)"
"(1.4166666666666667, 0)","(1.4166666666666667, 1)"
"(1.4333333333333333, 0)","(1.4333333333333333, 1)"
"(1.45, 0)","(1.45, 1)"
"(1.4666666666666666, 0)","(1.4666666666666666, 1)"
"(1.4833333333333334, 0)","(1.4833333333333334, 1)"
"(1.5, 0)","(1.5, 1)"
"(1.5166666666666666, 0)","(1.5166666666666666, 1)"
"(1.5333333333333332, 0)","(1.5333333333333332, 1)"
"(1.55, 0)","(1.55, 1)"
"(1.5666666666666667, 0)","(1.5666666666666667, 1)"
"(1.5833333333333333, 0)","(1.5833333333333333, 1)"
"(1.6, 0)","(1.6, 1)"
"(1.6166666666666667, 0)","(1.6166666666666667, 1)"
"(1.6333333333333333, 0)","(1.6333333333333333, 1)"
"(1.65, 0)","(1.65, 1)"
"(1.6666666666666667, 0)","(1.6666666666666667, 1)"
"(1.6833333333333333, 0)","(1.6833333333333333, 1)"
"(1.7, 0)","(1.7, 1)"
"(1.7166666666666666, 0)","(1.7166666666666666, 1)"
"(1.7333333333333334, 0)","(1.7333333333333334, 1)"
"(1.75, 0)","(1.75, 1)"
"(1.7666666666666666, 0)","(1.7666666666666666, 1)"
"(1.7833333333333332, 0)","(1.7833333333333332, 1)"
"(1.8, 0)","(1.8, 1)"
"(1.8166666666666667, 0)","(1.8166666666666667, 1)"
"(1.8333333333333333, 0)","(1.8333333333333333, 1)"
"(1.8499999999999999, 0)","(1.8499999999999999, 1)"
"(1.8666666666666667, 0)","(1.8666666666666667, 1)"
"(1.8833333333333333, 0)","(1.8833333333333333, 1)"
"(1.9, 0)","(1.9, 1)"
"(1.9166666666666667, 0)","(1.9166666666666667, 1)"
"(1.9333333333333333, 0)","(1.9333333333333333, 1)"
"(1.95, 0)","(1.95, 1)"
"(1.9666666666666666, 0)","(1.9666666666666666, 1)"
"(1.9833333333333334, 0)","(1.9833333333333334, 1)"
"(2.0, 0)","(2.0, 1)"
"(2.0166666666666666, 0)","(2.0166666666666666, 1)"
"(2.033333333333333, 0)","(2.033333333333333, 1)"
"(2.05, 0)","(2.05, 1)"
