FF times,LED times
"(0.01668405416903, 1.0)","(0.01668405416903, 1.0)"
"(0.0333681083380601, 0.0)","(0.0333681083380601, 1.0)"
"(0.0500521625070901, 0.0)","(0.0500521625070901, 1.0)"
"(0.0667362166761202, 0.0)","(0.0667362166761202, 1.0)"
"(0.0834202708451503, 0.0)","(0.0834202708451503, 1.0)"
"(0.1001043250141803, 0.0)","(0.1001043250141803, 1.0)"
"(0.1167883791832104, 0.0)","(0.1167883791832104, 1.0)"
"(0.1334724333522405, 0.0)","(0.1334724333522405, 1.0)"
"(0.1501564875212705, 0.0)","(0.1501564875212705, 1.0)"
"(0.1668405416903006, 0.0)","(0.1668405416903006, 1.0)"
"(0.1835245958593307, 0.0)","(0.1835245958593307, 1.0)"
"(0.2002086500283607, 0.0)","(0.2002086500283607, 1.0)"
"(0.2168927041973908, 0.0)","(0.2168927041973908, 1.0)"
"(0.2335767583664209, 0.0)","(0.2335767583664209, 1.0)"
"(0.2502608125354509, 0.0)","(0.2502608125354509, 1.0)"
"(0.266944866704481, 0.0)","(0.266944866704481, 1.0)"
"(0.2836289208735111, 1.0)","(0.2836289208735111, 1.0)"
"(0.3003129750425411, 1.0)","(0.3003129750425411, 1.0)"
"(0.3169970292115712, 0.0)","(0.3169970292115712, 1.0)"
"(0.3336810833806012, 0.0)","(0.3336810833806012, 1.0)"
"(0.3503651375496313, 0.0)","(0.3503651375496313, 1.0)"
"(0.3670491917186614, 0.0)","(0.3670491917186614, 1.0)"
"(0.3837332458876915, 0.0)","(0.3837332458876915, 1.0)"
"(0.4004173000567215, 0.0)","(0.4004173000567215, 1.0)"
"(0.4171013542257515, 0.0)","(0.4171013542257515, 1.0)"
"(0.4337854083947816, 0.0)","(0.4337854083947816, 1.0)"
"(0.4504694625638117, 0.0)","(0.4504694625638117, 1.0)"
"(0.4671535167328418, 0.0)","(0.4671535167328418, 1.0)"
"(0.4838375709018718, 0.0)","(0.4838375709018718, 1.0)"
"(0.5005216250709019, 0.0)","(0.5005216250709019, 1.0)"
"(0.517205679239932, 0.0)","(0.517205679239932, 1.0)"
"(0.5338897334089621, 1.0)","(0.5338897334089621, 1.0)"
"(0.5505737875779921, 1.0)","(0.5505737875779921, 1.0)"
"(0.5672578417470222, 0.0)","(0.5672578417470222, 1.0)"
"(0.5839418959160522, 0.0)","(0.5839418959160522, 1.0)"
"(0.6006259500850822, 0.0)","(0.6006259500850822, 1.0)"
"(0.6173100042541123, 0.0)","(0.6173100042541123, 1.0)"
"(0.6339940584231424, 0.0)","(0.6339940584231424, 1.0)"
"(0.6506781125921725, 0.0)","(0.6506781125921725, 1.0)"
"(0.6673621667612025, 0.0)","(0.6673621667612025, 1.0)"
"(0.6840462209302326, 0.0)","(0.6840462209302326, 1.0)"
"(0.7007302750992627, 0.0)","(0.7007302750992627, 1.0)"
"(0.7174143292682927, 0.0)","(0.7174143292682927, 1.0)"
"(0.7340983834373228, 0.0)","(0.7340983834373228, 1.0)"
"(0.7507824376063529, 0.0)","(0.7507824376063529, 1.0)"
"(0.767466491775383, 0.0)","(0.767466491775383, 1.0)"
"(0.784150545944413, 1.0)","(0.784150545944413, 1.0)"
"(0.8008346001134431, 1.0)","(0.8008346001134431, 1.0)"
"(0.8175186542824731, 0.0)","(0.8175186542824731, 1.0)"
"(0.8342027084515031, 0.0)","(0.8342027084515031, 1.0)"
"(0.8508867626205332, 0.0)","(0.8508867626205332, 1.0)"
"(0.8675708167895633, 1.0)","(0.8675708167895633, 1.0)"
