FF times,LED times
"(0.0, 0.0)","(0.0, 1.0)"
"(0.01667500416875104, 0.0)","(0.01667500416875104, 1.0)"
"(0.03335000833750208, 0.0)","(0.03335000833750208, 1.0)"
"(0.05002501250625313, 0.0)","(0.05002501250625313, 1.0)"
"(0.06670001667500416, 0.0)","(0.06670001667500416, 1.0)"
"(0.08337502084375521, 0.0)","(0.08337502084375521, 1.0)"
"(0.10005002501250626, 0.0)","(0.10005002501250626, 1.0)"
"(0.1167250291812573, 0.0)","(0.1167250291812573, 1.0)"
"(0.13340003335000833, 0.0)","(0.13340003335000833, 1.0)"
"(0.1500750375187594, 0.0)","(0.1500750375187594, 1.0)"
"(0.16675004168751043, 0.0)","(0.16675004168751043, 1.0)"
"(0.18342504585626146, 0.0)","(0.18342504585626146, 1.0)"
"(0.20010005002501252, 0.0)","(0.20010005002501252, 1.0)"
"(0.21677505419376356, 0.0)","(0.21677505419376356, 1.0)"
"(0.2334500583625146, 0.0)","(0.2334500583625146, 1.0)"
"(0.25012506253126565, 0.0)","(0.25012506253126565, 1.0)"
"(0.26680006670001666, 0.0)","(0.26680006670001666, 1.0)"
"(0.2834750708687677, 0.0)","(0.2834750708687677, 1.0)"
"(0.3001500750375188, 0.0)","(0.3001500750375188, 1.0)"
"(0.3168250792062698, 0.0)","(0.3168250792062698, 1.0)"
"(0.33350008337502085, 0.0)","(0.33350008337502085, 1.0)"
"(0.3501750875437719, 0.0)","(0.3501750875437719, 1.0)"
"(0.3668500917125229, 0.0)","(0.3668500917125229, 1.0)"
"(0.383525095881274, 0.0)","(0.383525095881274, 1.0)"
"(0.40020010005002504, 0.0)","(0.40020010005002504, 1.0)"
"(0.41687510421877605, 0.0)","(0.41687510421877605, 1.0)"
"(0.4335501083875271, 0.0)","(0.4335501083875271, 1.0)"
"(0.4502251125562782, 0.0)","(0.4502251125562782, 1.0)"
"(0.4669001167250292, 0.0)","(0.4669001167250292, 1.0)"
"(0.48357512089378024, 0.0)","(0.48357512089378024, 1.0)"
"(0.5002501250625313, 0.0)","(0.5002501250625313, 1.0)"
"(0.5169251292312823, 0.0)","(0.5169251292312823, 1.0)"
"(0.5336001334000333, 0.0)","(0.5336001334000333, 1.0)"
"(0.5502751375687844, 0.0)","(0.5502751375687844, 1.0)"
"(0.5669501417375354, 0.0)","(0.5669501417375354, 1.0)"
"(0.5836251459062864, 0.0)","(0.5836251459062864, 1.0)"
"(0.6003001500750376, 0.0)","(0.6003001500750376, 1.0)"
"(0.6169751542437886, 0.0)","(0.6169751542437886, 1.0)"
"(0.6336501584125396, 0.0)","(0.6336501584125396, 1.0)"
"(0.6503251625812907, 0.0)","(0.6503251625812907, 1.0)"
"(0.6670001667500417, 0.0)","(0.6670001667500417, 1.0)"
"(0.6836751709187927, 0.0)","(0.6836751709187927, 1.0)"
"(0.7003501750875438, 0.0)","(0.7003501750875438, 1.0)"
"(0.7170251792562948, 0.0)","(0.7170251792562948, 1.0)"
"(0.7337001834250458, 0.0)","(0.7337001834250458, 1.0)"
"(0.750375187593797, 0.0)","(0.750375187593797, 1.0)"
"(0.767050191762548, 0.0)","(0.767050191762548, 1.0)"
"(0.783725195931299, 0.0)","(0.783725195931299, 1.0)"
"(0.8004002001000501, 0.0)","(0.8004002001000501, 1.0)"
"(0.8170752042688011, 0.0)","(0.8170752042688011, 1.0)"
"(0.8337502084375521, 0.0)","(0.8337502084375521, 1.0)"
"(0.8504252126063032, 0.0)","(0.8504252126063032, 1.0)"
"(0.8671002167750542, 0.0)","(0.8671002167750542, 1.0)"
"(0.8837752209438052, 0.0)","(0.8837752209438052, 1.0)"
"(0.9004502251125563, 0.0)","(0.9004502251125563, 1.0)"
"(0.9171252292813074, 0.0)","(0.9171252292813074, 1.0)"
"(0.9338002334500584, 1.0)","(0.9338002334500584, 1.0)"
"(0.9504752376188095, 1.0)","(0.9504752376188095, 1.0)"
"(0.9671502417875605, 0.0)","(0.9671502417875605, 1.0)"
"(0.9838252459563115, 0.0)","(0.9838252459563115, 1.0)"
"(1.0005002501250626, 0.0)","(1.0005002501250626, 1.0)"
"(1.0171752542938135, 0.0)","(1.0171752542938135, 1.0)"
"(1.0338502584625646, 1.0)","(1.0338502584625646, 1.0)"
"(1.0505252626313157, 1.0)","(1.0505252626313157, 1.0)"
"(1.0672002668000666, 0.0)","(1.0672002668000666, 1.0)"
"(1.0838752709688178, 0.0)","(1.0838752709688178, 1.0)"
"(1.1005502751375689, 0.0)","(1.1005502751375689, 1.0)"
"(1.1172252793063198, 0.0)","(1.1172252793063198, 1.0)"
"(1.1339002834750709, 0.0)","(1.1339002834750709, 1.0)"
"(1.150575287643822, 0.0)","(1.150575287643822, 1.0)"
"(1.167250291812573, 0.0)","(1.167250291812573, 1.0)"
"(1.183925295981324, 0.0)","(1.183925295981324, 1.0)"
"(1.2006003001500751, 0.0)","(1.2006003001500751, 1.0)"
"(1.217275304318826, 0.0)","(1.217275304318826, 1.0)"
"(1.2339503084875771, 0.0)","(1.2339503084875771, 1.0)"
"(1.2506253126563283, 1.0)","(1.2506253126563283, 1.0)"
"(1.2673003168250792, 1.0)","(1.2673003168250792, 1.0)"
"(1.2839753209938303, 1.0)","(1.2839753209938303, 1.0)"
"(1.3006503251625814, 0.0)","(1.3006503251625814, 1.0)"
"(1.3173253293313323, 0.0)","(1.3173253293313323, 1.0)"
"(1.3340003335000834, 0.0)","(1.3340003335000834, 1.0)"
"(1.3506753376688345, 1.0)","(1.3506753376688345, 1.0)"
"(1.3673503418375854, 1.0)","(1.3673503418375854, 1.0)"
"(1.3840253460063365, 1.0)","(1.3840253460063365, 1.0)"
"(1.4007003501750876, 1.0)","(1.4007003501750876, 1.0)"
"(1.4173753543438385, 1.0)","(1.4173753543438385, 1.0)"
"(1.4340503585125897, 1.0)","(1.4340503585125897, 1.0)"
"(1.4507253626813408, 0.0)","(1.4507253626813408, 1.0)"
"(1.4674003668500917, 0.0)","(1.4674003668500917, 1.0)"
"(1.4840753710188428, 0.0)","(1.4840753710188428, 1.0)"
"(1.500750375187594, 0.0)","(1.500750375187594, 1.0)"
"(1.5174253793563448, 0.0)","(1.5174253793563448, 1.0)"
"(1.534100383525096, 0.0)","(1.534100383525096, 1.0)"
"(1.550775387693847, 0.0)","(1.550775387693847, 1.0)"
"(1.567450391862598, 0.0)","(1.567450391862598, 1.0)"
"(1.584125396031349, 1.0)","(1.584125396031349, 1.0)"
"(1.6008004002001002, 1.0)","(1.6008004002001002, 1.0)"
"(1.617475404368851, 1.0)","(1.617475404368851, 1.0)"
"(1.6341504085376022, 0.0)","(1.6341504085376022, 1.0)"
"(1.6508254127063533, 0.0)","(1.6508254127063533, 1.0)"
"(1.6675004168751042, 0.0)","(1.6675004168751042, 1.0)"
"(1.6841754210438553, 0.0)","(1.6841754210438553, 1.0)"
"(1.7008504252126064, 1.0)","(1.7008504252126064, 1.0)"
"(1.7175254293813573, 1.0)","(1.7175254293813573, 1.0)"
"(1.7342004335501084, 1.0)","(1.7342004335501084, 1.0)"
"(1.7508754377188596, 1.0)","(1.7508754377188596, 1.0)"
"(1.7675504418876105, 1.0)","(1.7675504418876105, 1.0)"
"(1.7842254460563616, 0.0)","(1.7842254460563616, 1.0)"
"(1.8009004502251127, 0.0)","(1.8009004502251127, 1.0)"
"(1.8175754543938636, 0.0)","(1.8175754543938636, 1.0)"
"(1.8342504585626147, 0.0)","(1.8342504585626147, 1.0)"
"(1.8509254627313658, 0.0)","(1.8509254627313658, 1.0)"
"(1.8676004669001167, 0.0)","(1.8676004669001167, 1.0)"
"(1.8842754710688678, 0.0)","(1.8842754710688678, 1.0)"
"(1.900950475237619, 0.0)","(1.900950475237619, 1.0)"
"(1.9176254794063698, 0.0)","(1.9176254794063698, 1.0)"
"(1.934300483575121, 0.0)","(1.934300483575121, 1.0)"
"(1.950975487743872, 0.0)","(1.950975487743872, 1.0)"
"(1.967650491912623, 0.0)","(1.967650491912623, 1.0)"
