FF times,LED times
"(0.0166838611976462, 0.0)","(0.0166838611976462, 1.0)"
"(0.0333677223952924, 0.0)","(0.0333677223952924, 1.0)"
"(0.0500515835929387, 0.0)","(0.0500515835929387, 1.0)"
"(0.0667354447905849, 0.0)","(0.0667354447905849, 1.0)"
"(0.0834193059882312, 0.0)","(0.0834193059882312, 1.0)"
"(0.1001031671858774, 0.0)","(0.1001031671858774, 1.0)"
"(0.1167870283835237, 0.0)","(0.1167870283835237, 1.0)"
"(0.1334708895811699, 0.0)","(0.1334708895811699, 1.0)"
"(0.1501547507788162, 0.0)","(0.1501547507788162, 1.0)"
"(0.1668386119764624, 0.0)","(0.1668386119764624, 1.0)"
"(0.1835224731741087, 0.0)","(0.1835224731741087, 1.0)"
"(0.2002063343717549, 0.0)","(0.2002063343717549, 1.0)"
"(0.2168901955694011, 0.0)","(0.2168901955694011, 1.0)"
"(0.2335740567670474, 0.0)","(0.2335740567670474, 1.0)"
"(0.2502579179646936, 0.0)","(0.2502579179646936, 1.0)"
"(0.2669417791623399, 0.0)","(0.2669417791623399, 1.0)"
"(0.2836256403599861, 0.0)","(0.2836256403599861, 1.0)"
"(0.3003095015576324, 0.0)","(0.3003095015576324, 1.0)"
"(0.3169933627552787, 0.0)","(0.3169933627552787, 1.0)"
"(0.3336772239529249, 0.0)","(0.3336772239529249, 1.0)"
"(0.3503610851505711, 0.0)","(0.3503610851505711, 1.0)"
"(0.3670449463482174, 0.0)","(0.3670449463482174, 1.0)"
"(0.3837288075458636, 0.0)","(0.3837288075458636, 1.0)"
"(0.4004126687435099, 0.0)","(0.4004126687435099, 1.0)"
"(0.4170965299411561, 0.0)","(0.4170965299411561, 1.0)"
"(0.4337803911388023, 1.0)","(0.4337803911388023, 1.0)"
"(0.4504642523364486, 1.0)","(0.4504642523364486, 1.0)"
"(0.4671481135340948, 1.0)","(0.4671481135340948, 1.0)"
"(0.4838319747317411, 1.0)","(0.4838319747317411, 1.0)"
"(0.5005158359293873, 0.0)","(0.5005158359293873, 1.0)"
"(0.5171996971270336, 0.0)","(0.5171996971270336, 1.0)"
"(0.5338835583246798, 0.0)","(0.5338835583246798, 1.0)"
"(0.5505674195223261, 0.0)","(0.5505674195223261, 1.0)"
"(0.5672512807199723, 0.0)","(0.5672512807199723, 1.0)"
"(0.5839351419176185, 0.0)","(0.5839351419176185, 1.0)"
"(0.6006190031152648, 0.0)","(0.6006190031152648, 1.0)"
"(0.617302864312911, 0.0)","(0.617302864312911, 1.0)"
"(0.6339867255105573, 0.0)","(0.6339867255105573, 1.0)"
"(0.6506705867082035, 0.0)","(0.6506705867082035, 1.0)"
"(0.6673544479058497, 0.0)","(0.6673544479058497, 1.0)"
"(0.6840383091034961, 0.0)","(0.6840383091034961, 1.0)"
"(0.7007221703011423, 0.0)","(0.7007221703011423, 1.0)"
"(0.7174060314987886, 0.0)","(0.7174060314987886, 1.0)"
"(0.7340898926964348, 0.0)","(0.7340898926964348, 1.0)"
"(0.750773753894081, 0.0)","(0.750773753894081, 1.0)"
"(0.7674576150917273, 0.0)","(0.7674576150917273, 1.0)"
"(0.7841414762893735, 0.0)","(0.7841414762893735, 1.0)"
"(0.8008253374870198, 0.0)","(0.8008253374870198, 1.0)"
"(0.817509198684666, 0.0)","(0.817509198684666, 1.0)"
"(0.8341930598823123, 0.0)","(0.8341930598823123, 1.0)"
"(0.8508769210799585, 0.0)","(0.8508769210799585, 1.0)"
"(0.8675607822776047, 0.0)","(0.8675607822776047, 1.0)"
"(0.884244643475251, 0.0)","(0.884244643475251, 1.0)"
"(0.9009285046728972, 0.0)","(0.9009285046728972, 1.0)"
"(0.9176123658705436, 0.0)","(0.9176123658705436, 1.0)"
"(0.9342962270681896, 0.0)","(0.9342962270681896, 1.0)"
"(0.950980088265836, 0.0)","(0.950980088265836, 1.0)"
"(0.9676639494634822, 0.0)","(0.9676639494634822, 1.0)"
"(0.9843478106611284, 0.0)","(0.9843478106611284, 1.0)"
"(1.0010316718587746, 0.0)","(1.0010316718587746, 1.0)"
"(1.017715533056421, 0.0)","(1.017715533056421, 1.0)"
"(1.0343993942540672, 0.0)","(1.0343993942540672, 1.0)"
"(1.051083255451713, 0.0)","(1.051083255451713, 1.0)"
"(1.0677671166493596, 0.0)","(1.0677671166493596, 1.0)"
"(1.084450977847006, 0.0)","(1.084450977847006, 1.0)"
"(1.1011348390446525, 0.0)","(1.1011348390446525, 1.0)"
"(1.1178187002422983, 0.0)","(1.1178187002422983, 1.0)"
"(1.1345025614399449, 0.0)","(1.1345025614399449, 1.0)"
"(1.151186422637591, 0.0)","(1.151186422637591, 1.0)"
"(1.167870283835237, 0.0)","(1.167870283835237, 1.0)"
"(1.1845541450328834, 1.0)","(1.1845541450328834, 1.0)"
"(1.2012380062305297, 1.0)","(1.2012380062305297, 1.0)"
"(1.2179218674281758, 1.0)","(1.2179218674281758, 1.0)"
"(1.234605728625822, 1.0)","(1.234605728625822, 1.0)"
"(1.2512895898234684, 0.0)","(1.2512895898234684, 1.0)"
"(1.2679734510211147, 0.0)","(1.2679734510211147, 1.0)"
"(1.2846573122187608, 0.0)","(1.2846573122187608, 1.0)"
"(1.301341173416407, 0.0)","(1.301341173416407, 1.0)"
"(1.3180250346140534, 0.0)","(1.3180250346140534, 1.0)"
"(1.3347088958116995, 0.0)","(1.3347088958116995, 1.0)"
"(1.3513927570093458, 0.0)","(1.3513927570093458, 1.0)"
"(1.368076618206992, 0.0)","(1.368076618206992, 1.0)"
"(1.3847604794046384, 0.0)","(1.3847604794046384, 1.0)"
"(1.4014443406022845, 0.0)","(1.4014443406022845, 1.0)"
"(1.4181282017999308, 0.0)","(1.4181282017999308, 1.0)"
"(1.4348120629975771, 0.0)","(1.4348120629975771, 1.0)"
"(1.4514959241952232, 0.0)","(1.4514959241952232, 1.0)"
"(1.4681797853928695, 0.0)","(1.4681797853928695, 1.0)"
"(1.4848636465905158, 0.0)","(1.4848636465905158, 1.0)"
"(1.501547507788162, 0.0)","(1.501547507788162, 1.0)"
"(1.5182313689858082, 0.0)","(1.5182313689858082, 1.0)"
"(1.5349152301834543, 0.0)","(1.5349152301834543, 1.0)"
"(1.5515990913811009, 0.0)","(1.5515990913811009, 1.0)"
"(1.568282952578747, 0.0)","(1.568282952578747, 1.0)"
"(1.5849668137763933, 0.0)","(1.5849668137763933, 1.0)"
"(1.6016506749740396, 0.0)","(1.6016506749740396, 1.0)"
"(1.6183345361716857, 0.0)","(1.6183345361716857, 1.0)"
"(1.635018397369332, 0.0)","(1.635018397369332, 1.0)"
"(1.6517022585669785, 0.0)","(1.6517022585669785, 1.0)"
"(1.6683861197646246, 0.0)","(1.6683861197646246, 1.0)"
"(1.685069980962271, 0.0)","(1.685069980962271, 1.0)"
"(1.701753842159917, 0.0)","(1.701753842159917, 1.0)"
"(1.7184377033575633, 0.0)","(1.7184377033575633, 1.0)"
"(1.7351215645552094, 0.0)","(1.7351215645552094, 1.0)"
"(1.7518054257528557, 0.0)","(1.7518054257528557, 1.0)"
"(1.768489286950502, 0.0)","(1.768489286950502, 1.0)"
"(1.785173148148148, 0.0)","(1.785173148148148, 1.0)"
"(1.8018570093457944, 0.0)","(1.8018570093457944, 1.0)"
"(1.8185408705434407, 0.0)","(1.8185408705434407, 1.0)"
"(1.835224731741087, 0.0)","(1.835224731741087, 1.0)"
"(1.851908592938733, 0.0)","(1.851908592938733, 1.0)"
"(1.8685924541363796, 0.0)","(1.8685924541363796, 1.0)"
"(1.8852763153340255, 0.0)","(1.8852763153340255, 1.0)"
"(1.901960176531672, 0.0)","(1.901960176531672, 1.0)"
"(1.918644037729318, 0.0)","(1.918644037729318, 1.0)"
"(1.9353278989269644, 0.0)","(1.9353278989269644, 1.0)"
"(1.9520117601246108, 0.0)","(1.9520117601246108, 1.0)"
"(1.9686956213222568, 1.0)","(1.9686956213222568, 1.0)"
"(1.9853794825199031, 1.0)","(1.9853794825199031, 1.0)"
"(2.002063343717549, 1.0)","(2.002063343717549, 1.0)"
"(2.018747204915196, 1.0)","(2.018747204915196, 1.0)"
"(2.035431066112842, 0.0)","(2.035431066112842, 1.0)"
"(2.052114927310488, 0.0)","(2.052114927310488, 1.0)"
"(2.0687987885081345, 0.0)","(2.0687987885081345, 1.0)"
"(2.085482649705781, 0.0)","(2.085482649705781, 1.0)"
"(2.1021665109034267, 0.0)","(2.1021665109034267, 1.0)"
"(2.118850372101073, 0.0)","(2.118850372101073, 1.0)"
"(2.1355342332987197, 0.0)","(2.1355342332987197, 1.0)"
"(2.1522180944963654, 0.0)","(2.1522180944963654, 1.0)"
"(2.168901955694012, 0.0)","(2.168901955694012, 1.0)"
"(2.185585816891658, 0.0)","(2.185585816891658, 1.0)"
"(2.2022696780893045, 0.0)","(2.2022696780893045, 1.0)"
"(2.2189535392869506, 0.0)","(2.2189535392869506, 1.0)"
"(2.2356374004845967, 0.0)","(2.2356374004845967, 1.0)"
"(2.2523212616822432, 0.0)","(2.2523212616822432, 1.0)"
"(2.2690051228798893, 0.0)","(2.2690051228798893, 1.0)"
"(2.2856889840775354, 0.0)","(2.2856889840775354, 1.0)"
"(2.302372845275182, 0.0)","(2.302372845275182, 1.0)"
"(2.319056706472828, 0.0)","(2.319056706472828, 1.0)"
"(2.335740567670474, 0.0)","(2.335740567670474, 1.0)"
"(2.3524244288681206, 0.0)","(2.3524244288681206, 1.0)"
"(2.3691082900657667, 0.0)","(2.3691082900657667, 1.0)"
"(2.385792151263413, 0.0)","(2.385792151263413, 1.0)"
"(2.40247601246106, 0.0)","(2.40247601246106, 1.0)"
"(2.419159873658705, 0.0)","(2.419159873658705, 1.0)"
"(2.4358437348563515, 0.0)","(2.4358437348563515, 1.0)"
"(2.452527596053998, 0.0)","(2.452527596053998, 1.0)"
"(2.469211457251644, 0.0)","(2.469211457251644, 1.0)"
"(2.4858953184492907, 0.0)","(2.4858953184492907, 1.0)"
"(2.5025791796469368, 0.0)","(2.5025791796469368, 1.0)"
"(2.519263040844583, 0.0)","(2.519263040844583, 1.0)"
"(2.5359469020422294, 0.0)","(2.5359469020422294, 1.0)"
"(2.5526307632398755, 0.0)","(2.5526307632398755, 1.0)"
"(2.5693146244375216, 0.0)","(2.5693146244375216, 1.0)"
"(2.585998485635168, 0.0)","(2.585998485635168, 1.0)"
"(2.602682346832814, 0.0)","(2.602682346832814, 1.0)"
"(2.6193662080304603, 0.0)","(2.6193662080304603, 1.0)"
"(2.636050069228107, 0.0)","(2.636050069228107, 1.0)"
"(2.652733930425753, 0.0)","(2.652733930425753, 1.0)"
"(2.669417791623399, 0.0)","(2.669417791623399, 1.0)"
"(2.686101652821045, 0.0)","(2.686101652821045, 1.0)"
"(2.702785514018692, 0.0)","(2.702785514018692, 1.0)"
"(2.7194693752163377, 0.0)","(2.7194693752163377, 1.0)"
"(2.736153236413984, 0.0)","(2.736153236413984, 1.0)"
"(2.7528370976116303, 0.0)","(2.7528370976116303, 1.0)"
"(2.769520958809277, 0.0)","(2.769520958809277, 1.0)"
"(2.786204820006923, 0.0)","(2.786204820006923, 1.0)"
"(2.802888681204569, 0.0)","(2.802888681204569, 1.0)"
"(2.819572542402216, 0.0)","(2.819572542402216, 1.0)"
"(2.8362564035998616, 0.0)","(2.8362564035998616, 1.0)"
"(2.852940264797508, 0.0)","(2.852940264797508, 1.0)"
"(2.8696241259951543, 0.0)","(2.8696241259951543, 1.0)"
"(2.8863079871928004, 0.0)","(2.8863079871928004, 1.0)"
"(2.9029918483904464, 0.0)","(2.9029918483904464, 1.0)"
"(2.919675709588093, 0.0)","(2.919675709588093, 1.0)"
"(2.936359570785739, 0.0)","(2.936359570785739, 1.0)"
"(2.953043431983385, 0.0)","(2.953043431983385, 1.0)"
"(2.969727293181032, 0.0)","(2.969727293181032, 1.0)"
"(2.9864111543786778, 0.0)","(2.9864111543786778, 1.0)"
"(3.003095015576324, 0.0)","(3.003095015576324, 1.0)"
"(3.0197788767739704, 0.0)","(3.0197788767739704, 1.0)"
"(3.0364627379716165, 0.0)","(3.0364627379716165, 1.0)"
"(3.053146599169263, 0.0)","(3.053146599169263, 1.0)"
"(3.069830460366909, 0.0)","(3.069830460366909, 1.0)"
"(3.086514321564555, 0.0)","(3.086514321564555, 1.0)"
"(3.1031981827622017, 1.0)","(3.1031981827622017, 1.0)"
"(3.119882043959848, 1.0)","(3.119882043959848, 1.0)"
"(3.136565905157494, 1.0)","(3.136565905157494, 1.0)"
"(3.1532497663551404, 0.0)","(3.1532497663551404, 1.0)"
"(3.1699336275527865, 0.0)","(3.1699336275527865, 1.0)"
"(3.1866174887504326, 0.0)","(3.1866174887504326, 1.0)"
"(3.203301349948079, 0.0)","(3.203301349948079, 1.0)"
"(3.219985211145725, 0.0)","(3.219985211145725, 1.0)"
"(3.2366690723433718, 0.0)","(3.2366690723433718, 1.0)"
"(3.253352933541018, 0.0)","(3.253352933541018, 1.0)"
"(3.270036794738664, 0.0)","(3.270036794738664, 1.0)"
"(3.28672065593631, 0.0)","(3.28672065593631, 1.0)"
"(3.303404517133957, 0.0)","(3.303404517133957, 1.0)"
"(3.320088378331602, 0.0)","(3.320088378331602, 1.0)"
"(3.336772239529249, 0.0)","(3.336772239529249, 1.0)"
"(3.3534561007268957, 0.0)","(3.3534561007268957, 1.0)"
"(3.3701399619245413, 0.0)","(3.3701399619245413, 1.0)"
"(3.386823823122188, 0.0)","(3.386823823122188, 1.0)"
"(3.403507684319834, 0.0)","(3.403507684319834, 1.0)"
"(3.42019154551748, 0.0)","(3.42019154551748, 1.0)"
"(3.4368754067151266, 0.0)","(3.4368754067151266, 1.0)"
"(3.4535592679127727, 0.0)","(3.4535592679127727, 1.0)"
"(3.4702431291104188, 0.0)","(3.4702431291104188, 1.0)"
"(3.4869269903080653, 0.0)","(3.4869269903080653, 1.0)"
"(3.5036108515057114, 0.0)","(3.5036108515057114, 1.0)"
"(3.520294712703357, 0.0)","(3.520294712703357, 1.0)"
"(3.536978573901004, 0.0)","(3.536978573901004, 1.0)"
"(3.55366243509865, 0.0)","(3.55366243509865, 1.0)"
"(3.570346296296296, 0.0)","(3.570346296296296, 1.0)"
"(3.5870301574939427, 0.0)","(3.5870301574939427, 1.0)"
"(3.603714018691589, 0.0)","(3.603714018691589, 1.0)"
"(3.6203978798892353, 0.0)","(3.6203978798892353, 1.0)"
"(3.6370817410868814, 0.0)","(3.6370817410868814, 1.0)"
"(3.653765602284528, 0.0)","(3.653765602284528, 1.0)"
"(3.670449463482174, 0.0)","(3.670449463482174, 1.0)"
"(3.68713332467982, 0.0)","(3.68713332467982, 1.0)"
"(3.703817185877466, 0.0)","(3.703817185877466, 1.0)"
"(3.7205010470751128, 0.0)","(3.7205010470751128, 1.0)"
"(3.737184908272759, 0.0)","(3.737184908272759, 1.0)"
"(3.753868769470405, 0.0)","(3.753868769470405, 1.0)"
