FF times,LED times
"(0.0166839159002569, 0.0)","(0.0166839159002569, 1.0)"
"(0.0333678318005138, 0.0)","(0.0333678318005138, 1.0)"
"(0.0500517477007707, 0.0)","(0.0500517477007707, 1.0)"
"(0.0667356636010276, 0.0)","(0.0667356636010276, 1.0)"
"(0.0834195795012845, 0.0)","(0.0834195795012845, 1.0)"
"(0.1001034954015414, 0.0)","(0.1001034954015414, 1.0)"
"(0.1167874113017983, 0.0)","(0.1167874113017983, 1.0)"
"(0.1334713272020552, 0.0)","(0.1334713272020552, 1.0)"
"(0.1501552431023121, 0.0)","(0.1501552431023121, 1.0)"
"(0.166839159002569, 0.0)","(0.166839159002569, 1.0)"
"(0.1835230749028259, 0.0)","(0.1835230749028259, 1.0)"
"(0.2002069908030828, 0.0)","(0.2002069908030828, 1.0)"
"(0.2168909067033397, 0.0)","(0.2168909067033397, 1.0)"
"(0.2335748226035966, 0.0)","(0.2335748226035966, 1.0)"
"(0.2502587385038535, 0.0)","(0.2502587385038535, 1.0)"
"(0.2669426544041104, 0.0)","(0.2669426544041104, 1.0)"
"(0.2836265703043673, 0.0)","(0.2836265703043673, 1.0)"
"(0.3003104862046242, 0.0)","(0.3003104862046242, 1.0)"
"(0.3169944021048811, 0.0)","(0.3169944021048811, 1.0)"
"(0.333678318005138, 0.0)","(0.333678318005138, 1.0)"
"(0.3503622339053949, 0.0)","(0.3503622339053949, 1.0)"
"(0.3670461498056518, 0.0)","(0.3670461498056518, 1.0)"
"(0.3837300657059087, 1.0)","(0.3837300657059087, 1.0)"
"(0.4004139816061656, 1.0)","(0.4004139816061656, 1.0)"
"(0.4170978975064225, 1.0)","(0.4170978975064225, 1.0)"
"(0.4337818134066794, 0.0)","(0.4337818134066794, 1.0)"
"(0.4504657293069363, 0.0)","(0.4504657293069363, 1.0)"
"(0.4671496452071932, 0.0)","(0.4671496452071932, 1.0)"
"(0.4838335611074501, 0.0)","(0.4838335611074501, 1.0)"
"(0.5005174770077071, 0.0)","(0.5005174770077071, 1.0)"
"(0.517201392907964, 0.0)","(0.517201392907964, 1.0)"
"(0.5338853088082208, 0.0)","(0.5338853088082208, 1.0)"
"(0.5505692247084778, 0.0)","(0.5505692247084778, 1.0)"
"(0.5672531406087347, 0.0)","(0.5672531406087347, 1.0)"
"(0.5839370565089915, 0.0)","(0.5839370565089915, 1.0)"
"(0.6006209724092485, 0.0)","(0.6006209724092485, 1.0)"
"(0.6173048883095054, 0.0)","(0.6173048883095054, 1.0)"
