FF times,LED times
"(0.0166838682380589, 0.0)","(0.0166838682380589, 1.0)"
"(0.0333677364761178, 0.0)","(0.0333677364761178, 1.0)"
"(0.0500516047141767, 0.0)","(0.0500516047141767, 1.0)"
"(0.0667354729522356, 0.0)","(0.0667354729522356, 1.0)"
"(0.0834193411902945, 0.0)","(0.0834193411902945, 1.0)"
"(0.1001032094283534, 0.0)","(0.1001032094283534, 1.0)"
"(0.1167870776664123, 0.0)","(0.1167870776664123, 1.0)"
"(0.1334709459044712, 0.0)","(0.1334709459044712, 1.0)"
"(0.1501548141425301, 0.0)","(0.1501548141425301, 1.0)"
"(0.1668386823805891, 0.0)","(0.1668386823805891, 1.0)"
"(0.183522550618648, 0.0)","(0.183522550618648, 1.0)"
"(0.2002064188567069, 0.0)","(0.2002064188567069, 1.0)"
"(0.2168902870947658, 0.0)","(0.2168902870947658, 1.0)"
"(0.2335741553328247, 0.0)","(0.2335741553328247, 1.0)"
"(0.2502580235708836, 0.0)","(0.2502580235708836, 1.0)"
"(0.2669418918089425, 0.0)","(0.2669418918089425, 1.0)"
"(0.2836257600470014, 0.0)","(0.2836257600470014, 1.0)"
"(0.3003096282850603, 0.0)","(0.3003096282850603, 1.0)"
"(0.3169934965231193, 0.0)","(0.3169934965231193, 1.0)"
"(0.3336773647611782, 0.0)","(0.3336773647611782, 1.0)"
"(0.3503612329992371, 0.0)","(0.3503612329992371, 1.0)"
"(0.367045101237296, 0.0)","(0.367045101237296, 1.0)"
"(0.3837289694753549, 0.0)","(0.3837289694753549, 1.0)"
"(0.4004128377134138, 0.0)","(0.4004128377134138, 1.0)"
"(0.4170967059514727, 1.0)","(0.4170967059514727, 1.0)"
"(0.4337805741895316, 1.0)","(0.4337805741895316, 1.0)"
"(0.4504644424275906, 1.0)","(0.4504644424275906, 1.0)"
"(0.4671483106656495, 0.0)","(0.4671483106656495, 1.0)"
"(0.4838321789037084, 0.0)","(0.4838321789037084, 1.0)"
"(0.5005160471417673, 0.0)","(0.5005160471417673, 1.0)"
"(0.5171999153798262, 0.0)","(0.5171999153798262, 1.0)"
"(0.5338837836178851, 0.0)","(0.5338837836178851, 1.0)"
"(0.550567651855944, 0.0)","(0.550567651855944, 1.0)"
"(0.5672515200940029, 0.0)","(0.5672515200940029, 1.0)"
"(0.5839353883320618, 0.0)","(0.5839353883320618, 1.0)"
"(0.6006192565701207, 0.0)","(0.6006192565701207, 1.0)"
"(0.6173031248081797, 0.0)","(0.6173031248081797, 1.0)"
"(0.6339869930462386, 0.0)","(0.6339869930462386, 1.0)"
"(0.6506708612842975, 0.0)","(0.6506708612842975, 1.0)"
"(0.6673547295223564, 0.0)","(0.6673547295223564, 1.0)"
"(0.6840385977604153, 0.0)","(0.6840385977604153, 1.0)"
"(0.7007224659984742, 0.0)","(0.7007224659984742, 1.0)"
"(0.7174063342365331, 0.0)","(0.7174063342365331, 1.0)"
"(0.734090202474592, 0.0)","(0.734090202474592, 1.0)"
"(0.750774070712651, 0.0)","(0.750774070712651, 1.0)"
"(0.7674579389507099, 0.0)","(0.7674579389507099, 1.0)"
"(0.7841418071887688, 0.0)","(0.7841418071887688, 1.0)"
"(0.8008256754268277, 0.0)","(0.8008256754268277, 1.0)"
"(0.8175095436648866, 0.0)","(0.8175095436648866, 1.0)"
"(0.8341934119029455, 0.0)","(0.8341934119029455, 1.0)"
"(0.8508772801410044, 0.0)","(0.8508772801410044, 1.0)"
"(0.8675611483790633, 0.0)","(0.8675611483790633, 1.0)"
"(0.8842450166171223, 0.0)","(0.8842450166171223, 1.0)"
"(0.9009288848551812, 0.0)","(0.9009288848551812, 1.0)"
"(0.91761275309324, 0.0)","(0.91761275309324, 1.0)"
"(0.934296621331299, 0.0)","(0.934296621331299, 1.0)"
"(0.950980489569358, 0.0)","(0.950980489569358, 1.0)"
"(0.9676643578074168, 0.0)","(0.9676643578074168, 1.0)"
"(0.9843482260454756, 0.0)","(0.9843482260454756, 1.0)"
"(1.001032094283535, 0.0)","(1.001032094283535, 1.0)"
"(1.0177159625215937, 0.0)","(1.0177159625215937, 1.0)"
"(1.0343998307596525, 0.0)","(1.0343998307596525, 1.0)"
"(1.0510836989977113, 0.0)","(1.0510836989977113, 1.0)"
"(1.0677675672357705, 0.0)","(1.0677675672357705, 1.0)"
"(1.0844514354738293, 0.0)","(1.0844514354738293, 1.0)"
"(1.101135303711888, 0.0)","(1.101135303711888, 1.0)"
"(1.117819171949947, 0.0)","(1.117819171949947, 1.0)"
"(1.134503040188006, 0.0)","(1.134503040188006, 1.0)"
"(1.1511869084260649, 0.0)","(1.1511869084260649, 1.0)"
"(1.1678707766641236, 0.0)","(1.1678707766641236, 1.0)"
"(1.1845546449021829, 0.0)","(1.1845546449021829, 1.0)"
"(1.2012385131402414, 0.0)","(1.2012385131402414, 1.0)"
"(1.2179223813783004, 0.0)","(1.2179223813783004, 1.0)"
"(1.2346062496163597, 0.0)","(1.2346062496163597, 1.0)"
"(1.2512901178544182, 0.0)","(1.2512901178544182, 1.0)"
"(1.2679739860924772, 0.0)","(1.2679739860924772, 1.0)"
"(1.284657854330536, 0.0)","(1.284657854330536, 1.0)"
"(1.301341722568595, 0.0)","(1.301341722568595, 1.0)"
"(1.3180255908066538, 0.0)","(1.3180255908066538, 1.0)"
"(1.3347094590447128, 0.0)","(1.3347094590447128, 1.0)"
"(1.3513933272827716, 0.0)","(1.3513933272827716, 1.0)"
"(1.3680771955208306, 0.0)","(1.3680771955208306, 1.0)"
"(1.3847610637588896, 0.0)","(1.3847610637588896, 1.0)"
"(1.4014449319969484, 0.0)","(1.4014449319969484, 1.0)"
"(1.4181288002350074, 0.0)","(1.4181288002350074, 1.0)"
"(1.4348126684730662, 0.0)","(1.4348126684730662, 1.0)"
"(1.4514965367111252, 0.0)","(1.4514965367111252, 1.0)"
"(1.468180404949184, 0.0)","(1.468180404949184, 1.0)"
"(1.484864273187243, 0.0)","(1.484864273187243, 1.0)"
"(1.501548141425302, 0.0)","(1.501548141425302, 1.0)"
"(1.5182320096633608, 0.0)","(1.5182320096633608, 1.0)"
"(1.5349158779014198, 0.0)","(1.5349158779014198, 1.0)"
"(1.5515997461394786, 0.0)","(1.5515997461394786, 1.0)"
"(1.5682836143775376, 0.0)","(1.5682836143775376, 1.0)"
"(1.5849674826155964, 0.0)","(1.5849674826155964, 1.0)"
"(1.6016513508536554, 0.0)","(1.6016513508536554, 1.0)"
"(1.6183352190917142, 0.0)","(1.6183352190917142, 1.0)"
"(1.6350190873297732, 0.0)","(1.6350190873297732, 1.0)"
"(1.6517029555678322, 0.0)","(1.6517029555678322, 1.0)"
"(1.668386823805891, 0.0)","(1.668386823805891, 1.0)"
"(1.68507069204395, 0.0)","(1.68507069204395, 1.0)"
"(1.7017545602820088, 0.0)","(1.7017545602820088, 1.0)"
"(1.7184384285200678, 0.0)","(1.7184384285200678, 1.0)"
"(1.7351222967581266, 0.0)","(1.7351222967581266, 1.0)"
"(1.7518061649961856, 0.0)","(1.7518061649961856, 1.0)"
"(1.7684900332342446, 0.0)","(1.7684900332342446, 1.0)"
"(1.7851739014723034, 0.0)","(1.7851739014723034, 1.0)"
"(1.8018577697103624, 0.0)","(1.8018577697103624, 1.0)"
"(1.8185416379484207, 0.0)","(1.8185416379484207, 1.0)"
"(1.83522550618648, 0.0)","(1.83522550618648, 1.0)"
"(1.851909374424539, 0.0)","(1.851909374424539, 1.0)"
"(1.868593242662598, 0.0)","(1.868593242662598, 1.0)"
"(1.8852771109006567, 0.0)","(1.8852771109006567, 1.0)"
"(1.901960979138716, 0.0)","(1.901960979138716, 1.0)"
"(1.9186448473767748, 0.0)","(1.9186448473767748, 1.0)"
"(1.9353287156148336, 0.0)","(1.9353287156148336, 1.0)"
"(1.9520125838528928, 0.0)","(1.9520125838528928, 1.0)"
"(1.9686964520909516, 0.0)","(1.9686964520909516, 1.0)"
"(1.9853803203290104, 0.0)","(1.9853803203290104, 1.0)"
"(2.0020641885670694, 0.0)","(2.0020641885670694, 1.0)"
"(2.018748056805128, 0.0)","(2.018748056805128, 1.0)"
"(2.035431925043187, 0.0)","(2.035431925043187, 1.0)"
"(2.052115793281246, 0.0)","(2.052115793281246, 1.0)"
"(2.068799661519305, 0.0)","(2.068799661519305, 1.0)"
"(2.085483529757364, 0.0)","(2.085483529757364, 1.0)"
"(2.1021673979954225, 0.0)","(2.1021673979954225, 1.0)"
"(2.1188512662334817, 0.0)","(2.1188512662334817, 1.0)"
"(2.1355351344715405, 0.0)","(2.1355351344715405, 1.0)"
"(2.1522190027095998, 0.0)","(2.1522190027095998, 1.0)"
"(2.1689028709476585, 0.0)","(2.1689028709476585, 1.0)"
"(2.1855867391857173, 0.0)","(2.1855867391857173, 1.0)"
"(2.202270607423776, 0.0)","(2.202270607423776, 1.0)"
"(2.218954475661835, 0.0)","(2.218954475661835, 1.0)"
"(2.235638343899894, 0.0)","(2.235638343899894, 1.0)"
"(2.252322212137953, 0.0)","(2.252322212137953, 1.0)"
"(2.269006080376012, 0.0)","(2.269006080376012, 1.0)"
"(2.2856899486140705, 0.0)","(2.2856899486140705, 1.0)"
"(2.3023738168521297, 0.0)","(2.3023738168521297, 1.0)"
"(2.3190576850901885, 0.0)","(2.3190576850901885, 1.0)"
"(2.3357415533282477, 0.0)","(2.3357415533282477, 1.0)"
"(2.3524254215663065, 0.0)","(2.3524254215663065, 1.0)"
"(2.3691092898043653, 0.0)","(2.3691092898043653, 1.0)"
"(2.385793158042424, 0.0)","(2.385793158042424, 1.0)"
"(2.402477026280483, 0.0)","(2.402477026280483, 1.0)"
"(2.419160894518542, 0.0)","(2.419160894518542, 1.0)"
