FF times,LED times
"(0.0166839000213669, 0.0)","(0.0166839000213669, 1.0)"
"(0.0333678000427338, 0.0)","(0.0333678000427338, 1.0)"
"(0.0500517000641007, 0.0)","(0.0500517000641007, 1.0)"
"(0.0667356000854677, 0.0)","(0.0667356000854677, 1.0)"
"(0.0834195001068346, 0.0)","(0.0834195001068346, 1.0)"
"(0.1001034001282015, 0.0)","(0.1001034001282015, 1.0)"
"(0.1167873001495684, 0.0)","(0.1167873001495684, 1.0)"
"(0.1334712001709354, 0.0)","(0.1334712001709354, 1.0)"
"(0.1501551001923023, 0.0)","(0.1501551001923023, 1.0)"
"(0.1668390002136692, 0.0)","(0.1668390002136692, 1.0)"
"(0.1835229002350361, 0.0)","(0.1835229002350361, 1.0)"
"(0.2002068002564031, 0.0)","(0.2002068002564031, 1.0)"
"(0.21689070027777, 0.0)","(0.21689070027777, 1.0)"
"(0.2335746002991369, 0.0)","(0.2335746002991369, 1.0)"
"(0.2502585003205039, 0.0)","(0.2502585003205039, 1.0)"
"(0.2669424003418708, 0.0)","(0.2669424003418708, 1.0)"
"(0.2836263003632377, 0.0)","(0.2836263003632377, 1.0)"
"(0.3003102003846046, 1.0)","(0.3003102003846046, 1.0)"
"(0.3169941004059716, 0.0)","(0.3169941004059716, 1.0)"
"(0.3336780004273385, 0.0)","(0.3336780004273385, 1.0)"
"(0.3503619004487054, 0.0)","(0.3503619004487054, 1.0)"
"(0.3670458004700723, 1.0)","(0.3670458004700723, 1.0)"
"(0.3837297004914393, 0.0)","(0.3837297004914393, 1.0)"
"(0.4004136005128062, 0.0)","(0.4004136005128062, 1.0)"
"(0.4170975005341731, 0.0)","(0.4170975005341731, 1.0)"
"(0.43378140055554, 0.0)","(0.43378140055554, 1.0)"
"(0.450465300576907, 0.0)","(0.450465300576907, 1.0)"
"(0.4671492005982739, 0.0)","(0.4671492005982739, 1.0)"
"(0.4838331006196408, 0.0)","(0.4838331006196408, 1.0)"
"(0.5005170006410078, 0.0)","(0.5005170006410078, 1.0)"
"(0.5172009006623747, 0.0)","(0.5172009006623747, 1.0)"
"(0.5338848006837416, 0.0)","(0.5338848006837416, 1.0)"
"(0.5505687007051085, 0.0)","(0.5505687007051085, 1.0)"
"(0.5672526007264754, 0.0)","(0.5672526007264754, 1.0)"
"(0.5839365007478424, 0.0)","(0.5839365007478424, 1.0)"
"(0.6006204007692093, 0.0)","(0.6006204007692093, 1.0)"
"(0.6173043007905762, 0.0)","(0.6173043007905762, 1.0)"
"(0.6339882008119432, 0.0)","(0.6339882008119432, 1.0)"
"(0.6506721008333101, 0.0)","(0.6506721008333101, 1.0)"
"(0.6673560008546771, 0.0)","(0.6673560008546771, 1.0)"
"(0.6840399008760439, 1.0)","(0.6840399008760439, 1.0)"
"(0.7007238008974108, 0.0)","(0.7007238008974108, 1.0)"
"(0.7174077009187778, 0.0)","(0.7174077009187778, 1.0)"
"(0.7340916009401447, 0.0)","(0.7340916009401447, 1.0)"
"(0.7507755009615117, 0.0)","(0.7507755009615117, 1.0)"
"(0.7674594009828786, 0.0)","(0.7674594009828786, 1.0)"
"(0.7841433010042455, 0.0)","(0.7841433010042455, 1.0)"
"(0.8008272010256124, 0.0)","(0.8008272010256124, 1.0)"
"(0.8175111010469793, 1.0)","(0.8175111010469793, 1.0)"
"(0.8341950010683462, 1.0)","(0.8341950010683462, 1.0)"
"(0.8508789010897132, 1.0)","(0.8508789010897132, 1.0)"
"(0.8675628011110801, 0.0)","(0.8675628011110801, 1.0)"
"(0.8842467011324471, 0.0)","(0.8842467011324471, 1.0)"
"(0.900930601153814, 0.0)","(0.900930601153814, 1.0)"
"(0.9176145011751808, 0.0)","(0.9176145011751808, 1.0)"
"(0.9342984011965478, 1.0)","(0.9342984011965478, 1.0)"
"(0.9509823012179148, 1.0)","(0.9509823012179148, 1.0)"
"(0.9676662012392816, 1.0)","(0.9676662012392816, 1.0)"
"(0.9843501012606486, 0.0)","(0.9843501012606486, 1.0)"
"(1.0010340012820156, 0.0)","(1.0010340012820156, 1.0)"
"(1.0177179013033824, 0.0)","(1.0177179013033824, 1.0)"
"(1.0344018013247491, 0.0)","(1.0344018013247491, 1.0)"
"(1.0510857013461163, 0.0)","(1.0510857013461163, 1.0)"
"(1.0677696013674831, 0.0)","(1.0677696013674831, 1.0)"
"(1.08445350138885, 0.0)","(1.08445350138885, 1.0)"
"(1.101137401410217, 0.0)","(1.101137401410217, 1.0)"
"(1.117821301431584, 0.0)","(1.117821301431584, 1.0)"
"(1.1345052014529509, 0.0)","(1.1345052014529509, 1.0)"
"(1.151189101474318, 0.0)","(1.151189101474318, 1.0)"
"(1.1678730014956848, 1.0)","(1.1678730014956848, 1.0)"
"(1.1845569015170516, 1.0)","(1.1845569015170516, 1.0)"
"(1.2012408015384186, 1.0)","(1.2012408015384186, 1.0)"
"(1.2179247015597856, 0.0)","(1.2179247015597856, 1.0)"
"(1.2346086015811524, 1.0)","(1.2346086015811524, 1.0)"
"(1.2512925016025194, 1.0)","(1.2512925016025194, 1.0)"
"(1.2679764016238864, 1.0)","(1.2679764016238864, 1.0)"
"(1.2846603016452531, 1.0)","(1.2846603016452531, 1.0)"
"(1.30134420166662, 1.0)","(1.30134420166662, 1.0)"
"(1.3180281016879871, 1.0)","(1.3180281016879871, 1.0)"
"(1.334712001709354, 0.0)","(1.334712001709354, 1.0)"
"(1.3513959017307209, 0.0)","(1.3513959017307209, 1.0)"
"(1.368079801752088, 1.0)","(1.368079801752088, 1.0)"
"(1.3847637017734549, 0.0)","(1.3847637017734549, 1.0)"
"(1.4014476017948216, 1.0)","(1.4014476017948216, 1.0)"
"(1.4181315018161886, 1.0)","(1.4181315018161886, 1.0)"
"(1.4348154018375556, 1.0)","(1.4348154018375556, 1.0)"
"(1.4514993018589224, 1.0)","(1.4514993018589224, 1.0)"
"(1.4681832018802894, 1.0)","(1.4681832018802894, 1.0)"
"(1.4848671019016564, 1.0)","(1.4848671019016564, 1.0)"
"(1.5015510019230234, 1.0)","(1.5015510019230234, 1.0)"
"(1.51823490194439, 1.0)","(1.51823490194439, 1.0)"
"(1.5349188019657571, 1.0)","(1.5349188019657571, 1.0)"
"(1.551602701987124, 1.0)","(1.551602701987124, 1.0)"
"(1.568286602008491, 1.0)","(1.568286602008491, 1.0)"
"(1.584970502029858, 1.0)","(1.584970502029858, 1.0)"
"(1.601654402051225, 1.0)","(1.601654402051225, 1.0)"
"(1.6183383020725917, 1.0)","(1.6183383020725917, 1.0)"
"(1.6350222020939589, 1.0)","(1.6350222020939589, 1.0)"
"(1.6517061021153256, 1.0)","(1.6517061021153256, 1.0)"
"(1.6683900021366924, 1.0)","(1.6683900021366924, 1.0)"
"(1.6850739021580594, 1.0)","(1.6850739021580594, 1.0)"
"(1.7017578021794264, 1.0)","(1.7017578021794264, 1.0)"
"(1.7184417022007934, 1.0)","(1.7184417022007934, 1.0)"
"(1.7351256022221602, 1.0)","(1.7351256022221602, 1.0)"
"(1.7518095022435272, 1.0)","(1.7518095022435272, 1.0)"
"(1.7684934022648942, 0.0)","(1.7684934022648942, 1.0)"
"(1.785177302286261, 0.0)","(1.785177302286261, 1.0)"
"(1.801861202307628, 0.0)","(1.801861202307628, 1.0)"
"(1.818545102328995, 0.0)","(1.818545102328995, 1.0)"
"(1.8352290023503617, 0.0)","(1.8352290023503617, 1.0)"
"(1.851912902371729, 0.0)","(1.851912902371729, 1.0)"
"(1.868596802393096, 0.0)","(1.868596802393096, 1.0)"
"(1.8852807024144624, 0.0)","(1.8852807024144624, 1.0)"
"(1.9019646024358292, 0.0)","(1.9019646024358292, 1.0)"
"(1.9186485024571964, 0.0)","(1.9186485024571964, 1.0)"
"(1.9353324024785636, 0.0)","(1.9353324024785636, 1.0)"
"(1.9520163024999304, 0.0)","(1.9520163024999304, 1.0)"
"(1.9687002025212967, 0.0)","(1.9687002025212967, 1.0)"
"(1.985384102542664, 0.0)","(1.985384102542664, 1.0)"
"(2.002068002564031, 0.0)","(2.002068002564031, 1.0)"
"(2.018751902585398, 0.0)","(2.018751902585398, 1.0)"
"(2.0354358026067647, 0.0)","(2.0354358026067647, 1.0)"
"(2.052119702628132, 0.0)","(2.052119702628132, 1.0)"
"(2.0688036026494987, 0.0)","(2.0688036026494987, 1.0)"
"(2.085487502670865, 0.0)","(2.085487502670865, 1.0)"
"(2.1021714026922327, 0.0)","(2.1021714026922327, 1.0)"
"(2.1188553027135995, 0.0)","(2.1188553027135995, 1.0)"
"(2.1355392027349662, 0.0)","(2.1355392027349662, 1.0)"
